2310,3104
Nachahmung 213,227,209,35
ihr 440,227,43,26
Glück 501,227,90,26
versucht 605,227,134,26
und 756,228,58,25
zu 832,237,35,15
jenen 881,227,83,35
naiven 981,227,104,27
Arbeiten 1100,226,135,28
kommt, 1246,228,121,32
von 1386,237,59,17
denen 1461,227,90,27
gerade 1566,227,100,35
der 215,284,49,26
Osten 279,283,89,28
der 384,284,49,26
Schweiz 451,283,122,27
eine 588,283,61,27
besonders 665,284,150,26
reizvolle 831,284,129,26
Fülle 980,284,78,26
aufzuweisen 1076,284,188,28
hat. 1281,284,60,26
<EOS>
<EOP>
Niemals 306,362,126,27
können 444,362,114,28
wir 569,362,48,27
auch 629,363,71,26
hier 712,362,59,27
von 782,373,58,17
einem 851,362,90,27
reinen 953,362,95,27
Stil 1064,362,52,27
sprechen 1130,363,135,34
; 1273,373,5,22
er 1293,373,29,16
ist 1335,362,36,27
in 1384,362,30,27
diesem 1428,362,106,27
Gebiete 1551,362,115,27
kaum 214,419,87,26
anzutreffen. 322,419,185,28
<EOS>
Dafür 531,419,89,26
ist 638,419,37,26
aber 695,420,68,25
die 782,419,44,26
Sprache 849,419,122,35
dieser 991,419,89,26
Kunst 1102,419,95,26
kraftvoll 1217,419,136,26
eigenmächtig, 1373,419,215,35
von 1610,429,56,17
sprudelnder 214,476,185,35
Phantasie, 420,475,162,33
feinstem 602,476,130,26
Zartsinn 754,475,130,27
und 903,476,59,27
sicherer 982,476,120,26
Farbgebung. 1123,476,194,35
<EOS>
Nur 1340,476,60,26
ein 1421,476,44,26
musikalisch 1483,476,183,26
und 214,533,59,26
musisch 288,532,124,26
begabtes 428,533,135,34
Volk 579,533,72,26
kann 666,533,77,27
derart 759,533,94,26
schöne 870,533,102,27
Dinge 989,533,90,34
hervorbringen. 1094,533,228,34
<EOS>
Auf 1340,533,57,26
einem 1413,533,92,26
der 1521,533,48,26
abge¬ 1583,533,82,34
bildeten, 214,588,136,33
1832 376,588,69,28
datierten 467,588,140,28
«Bödeli» 631,588,128,28
sieht 779,589,72,27
man 875,599,67,18
einen 963,589,80,28
jodelnden 1063,589,152,35
Sennen. 1239,589,119,27
<EOS>
Man 1380,589,67,27
erkennt 1468,589,119,27
sein 1609,588,58,28
Singen 216,645,104,35
an 337,655,37,16
der 390,646,50,25
zum 456,655,66,16
Ohr 539,645,58,27
erhobenen 614,646,159,26
Rechten. 791,646,136,26
<EOS>
Wir 946,646,59,26
erwähnen 1023,646,149,26
diesen 1189,646,95,28
Jodler, 1303,646,106,33
weil 1427,645,61,27
etwas 1506,651,86,21
von 1610,655,57,17
diesem 213,701,105,27
Alpgesang 330,702,161,35
in 501,702,30,26
allen 542,703,72,25
Kunstgattungen 627,703,256,34
der 894,703,49,25
Ostschweiz 955,702,171,27
zu 1138,713,34,15
finden 1183,703,95,27
ist. 1289,702,45,27
<EOS>
— 1353,718,26,3
Zu 1395,703,41,25
finden 1450,702,98,27
war. 1561,711,67,18
<EOS>
— 1640,718,26,3
<EOS>
<EOP>
Noch 214,759,80,26
betätigt 307,759,126,34
zwar 447,768,74,17
der 535,759,48,26
Appenzeller 597,759,184,34
Senn 798,759,75,26
das 887,759,50,27
Jodeln 955,759,103,26
und 1072,759,59,26
das 1146,759,49,27
Schellenschütteln, 1212,759,282,33
aber 1510,759,67,26
seine 1592,759,73,28
eigentliche 214,814,166,35
Volkskunst 398,815,176,27
ist 590,814,37,27
verstummt. 644,820,180,22
<EOS>
Wir 847,814,59,28
sehen 923,816,85,26
den 1026,816,54,26
Grund 1100,815,97,27
im 1215,815,39,27
folgenden: 1275,816,163,35
Die 1464,815,51,27
seit 1532,815,52,27
dem 1602,816,63,26
18. 214,871,43,27
<EOS>
Jahrhundert 276,872,196,27
rapid 486,871,82,35
sich 583,871,59,27
entwickelnde 657,871,203,28
Technik 875,872,125,28
bringt 1015,872,96,35
in 1125,872,30,28
der 1170,873,48,25
Mitte 1233,872,82,26
des 1331,873,47,26
19. 1394,872,43,26
<EOS>
Jahrhunderts 1456,872,209,26
auch 214,928,73,26
dem 297,929,65,25
Bauern 373,929,113,25
die 495,928,45,26
Maschine. 550,928,150,27
<EOS>
Dabei 714,928,89,27
argumentiert 814,929,203,35
die 1028,929,44,26
Fortschrittsreklame 1083,929,310,26
folgendermaßen: 1403,929,262,35
«Leg 218,985,70,34
weg 302,995,62,24
die 380,985,44,26
Sichel 444,985,91,26
und 550,985,58,26
die 626,985,43,26
Sense, 687,985,94,33
was 798,995,57,17
Du 873,986,46,25
in 934,985,30,27
vielen 979,985,92,27
Stunden 1090,986,129,26
mühevoll 1234,986,144,26
zusammenmähst, 1394,986,271,32
<EOS>
<EOP>
Fortsetzung 1372,1045,138,21
auf 1520,1045,35,17
Seite 1566,1045,55,18
8 1631,1046,10,16
<EOS>
<EOP>
•-.'¦ 757,1480,32,10
<EOS>
<EOP>
i*- 959,1492,32,12
bX~~~* 999,1488,82,17
-r 894,1506,13,8
'...¦- 368,1510,46,15
<EOS>
•--'. 1969,1510,29,18
<EOS>
<EOP>
n 758,1859,28,40
' 809,1862,3,8
i 844,1859,19,38
<EOS>
<EOP>
" 638,1996,7,6
'M0à: 666,1991,99,33
,s.Y~-*&**-'^ 776,1994,195,30
<EOS>
<EOP>
BUSH 868,2112,79,29
v 974,2135,7,7
h. 986,2128,12,14
<EOS>
sa 707,2115,58,25
USTO 649,2117,55,21
<** 498,2144,29,11
/•Il 644,2148,28,12
<EOS>
<EOP>
r 1002,2157,9,9
<EOS>
<EOP>
¦ 1025,2159,2,3
<EOS>
<EOP>
: 526,2272,1,6
M. 536,2267,17,11
<EOS>
:\',. 473,2277,28,21
<EOS>
.'¦*' 1975,2276,36,24
<EOS>
<EOP>
ww 1405,2298,27,12
<EOS>
<EOP>
Jl 1159,2360,53,66
<EOS>
<EOP>
;*"< 724,2342,21,10
y«i^ 610,2345,38,11
<EOS>
<EOP>
¦-. 1647,2418,17,8
<EOS>
<EOP>
t.s 1792,2410,19,8
<EOS>
*L 934,2418,30,24
:*. 1665,2427,29,18
<EOS>
'A 207,2449,27,17
' 245,2449,5,8
<EOS>
<EOP>
/""¦ 616,2515,26,15
¦»r 1991,2516,25,14
<EOS>
<EOP>
»,*<• 758,2542,30,13
« 1982,2547,30,40
<EOS>
<EOP>
Jii 687,2687,25,19
<EOS>
<EOP>
