2310,3104
^ur 379,545,149,132
ofïfdwtjmïefcn 572,498,789,179
Haucrnfttnfh 1405,505,718,166
<EOS>
<EOP>
Die 240,795,50,26
Redaktion 304,795,160,26
des 477,796,47,25
«Du», 540,795,82,32
die 637,795,42,26
mit 693,795,51,26
ihrer 755,795,73,26
Zeitschrift 841,795,159,26
vor 1012,804,51,17
allem 1075,795,81,26
dem 1169,795,63,26
Leben 1245,794,94,26
dienen 1351,794,100,26
möchte, 1465,794,117,32
hat 150,853,49,26
uns 216,862,52,16
die 285,852,44,26
Frage 347,852,86,34
vorgelegt, 450,852,150,34
ob 619,852,35,26
es 672,862,27,16
mit 716,852,51,26
der 785,853,48,26
Ostschweizer 850,852,200,26
Bauernkunst 1067,853,197,25
tatsächlich 1284,851,166,27
und 1466,851,58,26
für 1542,850,43,26
immer 150,908,97,28
aus 268,919,49,16
und 340,908,55,27
Amen 414,908,90,27
sei. 525,908,46,27
<EOS>
Man 594,909,66,26
hat 680,909,50,26
in 750,908,29,27
den 800,909,53,26
letzten 874,909,104,26
Jahren 995,909,105,26
so 1114,919,29,16
viel 1157,908,55,27
vom 1233,919,66,16
neuaufblühenden 1320,908,265,27
bäuerlichen 151,965,178,27
Handwerk 343,965,160,26
gehört, 517,966,106,34
hat 638,966,49,25
den 702,966,53,25
Hof 770,966,56,26
der 840,966,47,26
Volkskunst 902,966,172,25
im 1088,965,38,26
Dörfli 1140,965,87,26
der 1241,966,48,25
Landesausstellung 1302,965,284,34
mit 151,1022,51,26
seinen 218,1022,94,26
ländlichen 327,1021,158,27
Werkstätten 501,1022,194,26
gesehen; 711,1022,130,35
wirkt 865,1022,80,26
sich 961,1022,58,26
von 1034,1032,57,16
all 1107,1022,35,26
dem 1158,1022,64,26
nichts 1237,1021,91,27
aus 1350,1031,48,16
in 1414,1021,28,26
der 1459,1021,47,26
Ost¬ 1522,1021,62,26
schweiz? 152,1079,135,26
<EOS>
Hat 308,1079,58,26
der 384,1079,48,26
kalte 449,1079,75,26
Reif 542,1078,63,27
der 622,1080,49,25
neuen 687,1089,90,16
Zeit 794,1079,58,26
das 871,1079,49,26
im 939,1079,36,26
vorangehenden 993,1079,235,34
Aufsatz 1243,1078,118,27
so 1379,1088,29,16
schön 1427,1078,85,26
und 1528,1078,56,26
wehmütig 153,1135,151,35
geschilderte 325,1135,180,35
Paradiesgärtlein 528,1135,251,35
der 802,1136,47,26
Bauernkunst 872,1135,198,27
für 1092,1135,44,27
immer 1157,1135,99,27
abgetötet 1278,1135,145,35
und 1446,1135,57,26
ver¬ 1525,1144,59,17
dorben? 152,1193,125,26
<EOS>
Die 306,1192,50,26
tausend 379,1193,121,25
Gegenstände, 526,1193,203,34
welche 753,1192,102,27
die 878,1192,44,26
Basler 943,1193,96,25
Ausstellung 1061,1192,180,35
zeigt, 1262,1192,81,35
stammen 1367,1197,138,21
von 1529,1201,56,17
Sammlern 154,1250,155,25
und 325,1249,57,26
Museen 399,1250,112,25
und 527,1250,57,26
sind 601,1249,61,26
dem 677,1250,64,26
bäuerlichen 758,1249,178,28
Leben 953,1250,92,25
und 1062,1250,56,25
Gebrauch 1135,1249,148,26
längst 1296,1249,92,35
entfremdet. 1405,1248,177,26
<EOS>
<EOP>
Diese 243,1305,80,27
Ausstellung 343,1306,180,34
wäre 544,1310,72,23
aber 638,1306,66,27
anregender 725,1306,170,35
und 916,1306,57,27
lebensverbundener, 992,1306,299,33
wenn 1314,1316,80,18
sie 1414,1305,37,27
auf 1472,1306,49,26
der 1538,1306,47,26
Schwelle 155,1363,130,26
zur 306,1372,47,17
Gegenwart 375,1362,165,35
nicht 560,1363,77,26
die 658,1362,43,27
Türe 721,1363,71,26
zugeschlagen 812,1363,201,35
hätte; 1032,1364,92,31
denn 1151,1363,84,26
auch 1263,1363,84,26
heute 1374,1362,100,27
noch 1502,1362,83,27
gibt 152,1420,72,35
es 245,1430,30,16
eine 296,1420,71,26
ostschweizerische 389,1420,331,27
Bauernkunst, 741,1421,250,32
mag 1006,1430,64,25
sie 1082,1421,36,26
auch 1132,1421,71,26
nicht 1216,1420,78,26
mehr 1307,1420,76,26
so 1396,1429,29,17
stark 1438,1420,78,25
und 1528,1420,56,25
frisch 153,1477,82,26
blühen 256,1477,104,28
wie 378,1477,50,26
ehedem. 449,1477,123,27
<EOS>
Im 596,1477,42,26
Appenzellerland, 657,1477,258,35
im 936,1477,38,26
Toggenburg 994,1477,184,35
sind 1197,1477,61,26
fleißige 1278,1476,108,35
Weißkübler 1405,1476,181,27
nach 152,1533,72,27
wie 242,1532,51,28
vor 311,1543,51,17
an 380,1543,35,17
der 434,1533,48,27
Arbeit. 500,1533,106,27
<EOS>
Ihre 629,1534,61,26
Werkzeuge, 709,1534,178,34
ihre 907,1533,57,27
Handgriffe, 986,1533,171,36
ihre 1177,1533,58,27
Schmuckformen 1256,1532,249,28
sind 1524,1532,61,27
dieselben 153,1589,139,27
wie 310,1589,49,27
früher. 377,1590,102,26
<EOS>
Im 501,1590,42,26
Toggenburg 560,1591,184,35
lebt 760,1591,59,26
die 837,1590,44,27
alte 898,1591,55,26
Bauernmalerei 973,1590,223,27
wieder 1214,1590,101,27
auf; 1333,1590,59,33
es 1411,1600,27,16
wird 1456,1590,67,26
ge¬ 1543,1600,41,25
woben, 152,1647,107,33
es 280,1657,26,16
wird 326,1647,67,27
gestickt. 413,1647,128,34
<EOS>
Es 563,1648,36,26
gibt 619,1647,59,35
kaum 697,1648,86,26
einen 803,1648,79,27
Zweig 903,1648,88,34
ostschweizerischer 1010,1648,282,27
Bauernkunst, 1311,1648,207,32
der 1538,1647,48,26
nicht 153,1703,77,28
in 243,1703,29,27
unsern 285,1714,102,16
Tagen 400,1704,94,35
noch 507,1705,70,26
und 592,1705,57,26
wieder 663,1704,100,27
Blätter 777,1705,109,26
und 900,1705,57,26
Blüten 972,1705,102,26
triebe. 1087,1705,97,26
<EOS>
<EOP>
Der 244,1761,55,25
Nur-LIistoriker 312,1760,232,27
wird 556,1761,68,26
diese 638,1761,73,27
Tatsachen 725,1762,158,26
zwar 896,1772,72,16
nicht 981,1762,78,26
bestreiten, 1072,1762,161,33
sie 1248,1762,37,26
aber 1299,1762,66,26
als 1378,1762,38,25
letzte 1431,1762,83,25
und 1529,1762,56,25
damit 153,1817,89,28
nicht 264,1817,78,27
weiter 363,1818,95,26
zu 479,1828,34,16
beachtende 535,1819,174,26
Ueberbleibsel 732,1819,206,27
einer 960,1819,74,27
vergangenen 1055,1830,195,24
Zeit 1272,1818,58,28
bezeichnen. 1352,1818,176,27
<EOS>
In 1554,1818,32,26
gewissem 153,1874,141,35
Sinne 312,1874,82,27
hat 408,1875,49,26
er 472,1885,28,16
recht, 513,1875,87,33
in 615,1875,28,27
dem 658,1875,63,27
Sinne 737,1875,83,27
nämlich, 835,1875,129,33
daß 980,1876,55,26
jede 1049,1876,63,34
Zeit 1127,1876,58,26
ihre 1199,1875,57,27
bestimmten 1271,1875,182,27
Lebens¬ 1467,1875,118,26
formen 153,1931,107,26
hat, 270,1931,58,33
die 341,1930,43,27
genau 395,1941,88,25
gleich 492,1931,88,35
nicht 589,1931,77,27
wiederkehren. 676,1932,215,27
<EOS>
Allein, 904,1932,98,33
diese 1016,1933,73,26
Betrachtungsweise 1098,1932,288,36
bleibt 1396,1932,87,26
an 1494,1941,35,17
der 1539,1932,48,25
Oberfläche 153,1988,163,26
hängen. 329,1988,117,35
<EOS>
Unter 461,1988,89,27
den 563,1989,53,27
zeitgebundenen 629,1989,240,35
Formen 882,1990,119,26
strömt 1013,1994,101,22
das 1128,1991,48,25
Leben 1190,1990,94,27
selbst, 1296,1990,93,31
und 1405,1990,56,25
mit 1469,1989,52,25
ihm 1528,1989,57,25
fließen 152,2045,100,27
und 272,2046,57,25
drängen 349,2046,123,33
die 492,2045,43,26
schöpferischen 555,2046,223,33
Kräfte. 799,2046,108,27
<EOS>
Gewiß 931,2046,94,27
haben 1046,2046,91,27
die 1157,2046,43,27
letzten 1218,2046,105,27
Jahrzehnte 1345,2046,171,26
mit 1535,2046,51,25
ihrer 152,2101,72,27
umstürzenden 243,2101,218,28
technischen 478,2101,180,28
und 676,2103,58,26
wirtschaftlichen 753,2102,247,27
Entwicklung 1019,2103,198,35
das 1235,2103,49,26
bäuerliche 1303,2102,157,27
Kunst¬ 1481,2102,104,26
schaffen 152,2158,123,26
nicht 293,2157,76,27
begünstigt; 386,2158,174,36
sie 578,2159,38,26
schienen 632,2159,130,27
es 778,2170,27,16
sogar 822,2170,80,25
endgültig 919,2160,144,35
zum 1078,2171,62,15
Erlöschen 1159,2160,151,26
zu 1325,2170,33,15
bringen. 1375,2159,124,36
<EOS>
Eine 1517,2159,69,26
Zeitlang 152,2215,127,35
sah 292,2215,50,26
es 354,2225,26,16
in 392,2215,29,26
der 433,2215,47,26
Tat 492,2216,53,26
so 558,2225,28,17
aus, 599,2225,58,24
