2310,3104
städtischen 167,500,149,21
Quartierannahmesteilen, 340,500,325,27
welche 686,502,87,20
je 166,535,23,28
von 202,543,49,13
einer 265,535,64,22
oder 342,535,56,22
mehreren 411,536,123,22
Netzgruppen 549,536,171,29
des 733,537,40,22
Frauenhilfsdienstes 167,571,256,23
betreut 439,572,97,22
werden. 550,572,102,22
<EOS>
Wie 196,607,53,21
nötig 259,607,68,28
die 338,607,36,22
Flickhilfe 386,607,125,22
ist, 521,608,38,26
mögen 571,610,86,27
ein 668,609,37,21
paar 715,616,59,21
Sätze 168,643,71,22
aus 257,650,43,15
einem 319,643,76,22
Bäuerinnenbrief 414,643,214,22
beweisen: 646,644,126,22
«Letzten 201,679,112,21
Freitag 324,679,96,29
habe 430,680,62,21
ich 502,680,39,21
vernommen, 551,687,164,19
daß 727,681,46,21
die 168,715,36,22
Zürcher 213,715,104,22
Frauen 324,715,93,22
für 425,715,38,22
uns 469,723,44,14
Bäuerinnen 522,715,151,22
flicken. 680,716,93,22
<EOS>
Mir 167,751,46,21
fiel 227,751,38,21
ein 281,751,38,22
Stein 336,750,67,23
vom 418,759,57,14
Herzen, 491,752,101,26
als 609,753,33,21
ich 658,752,38,22
diese 712,752,63,23
Botschaft 168,787,128,22
hörte. 310,787,76,22
<EOS>
Hatte 402,787,76,22
seit 493,787,44,22
Kriegsbeginn 552,787,174,29
oft 740,788,35,22
Militär 168,823,89,21
im 269,823,34,21
Haus 316,823,67,21
und 395,824,51,20
in 458,823,25,21
der 496,824,41,21
Scheune, 551,823,115,26
und 680,825,50,20
im 742,824,33,22
Januar 170,859,93,21
ist 273,859,32,21
meine 315,859,78,21
liebe 403,859,61,21
Mutter, 476,859,97,26
die 586,859,37,22
mir 634,859,46,22
immer 690,859,85,22
flickte, 168,894,89,26
plötzlich 279,894,114,29
gestorben. 413,895,135,27
<EOS>
Kam 571,895,64,21
mit 654,896,46,20
dem 721,896,55,21
besten 168,930,85,22
Willen 269,930,87,22
nicht 373,930,66,22
zum 456,938,55,14
Flicken, 529,930,104,27
hab' 652,931,56,22
drei 726,931,50,22
kleine 168,966,78,21
Kinder, 264,966,98,25
seit 380,966,45,21
dem 442,966,54,21
Mai 514,966,47,22
sogar 577,975,70,20
vier. 662,967,58,22
<EOS>
Da 739,968,37,21
wird 169,1002,59,21
man 247,1009,57,15
neben 323,1002,77,21
Stall- 422,1002,71,22
und 512,1002,49,22
Feldarbeit 583,1002,137,22
nie 739,1003,37,21
arbeitslos. 170,1037,132,22
<EOS>
Muß 318,1037,55,21
froh 387,1037,53,22
sein, 453,1037,58,27
daß 525,1038,47,21
ich 585,1038,38,21
immer 635,1038,86,22
mit 732,1039,45,21
Waschen 169,1073,119,22
nachkomme. 297,1074,167,22
<EOS>
Mein 475,1074,63,22
Schwager 549,1074,127,28
schickt 685,1074,92,22
mir 169,1109,46,21
auch 229,1109,62,21
die 306,1109,37,21
Wäsche, 356,1109,110,26
und 483,1110,49,21
seit 547,1110,45,22
er 606,1118,25,13
im 644,1110,33,21
Dienst 693,1111,84,21
ist, 169,1145,39,26
geht 220,1146,57,27
gar 284,1152,42,21
viel 334,1145,47,22
kaputt. 389,1146,97,27
<EOS>
Gegenwärtig 500,1145,165,29
ist 673,1146,32,22
gott¬ 714,1150,63,24
lob 170,1181,39,21
mein 220,1181,64,21
Mann 296,1181,73,21
hier. 381,1181,56,22
<EOS>
Ich 202,1217,43,22
danke 256,1217,78,21
Ihnen 346,1217,76,21
recht 433,1218,67,21
herzlich 511,1218,102,22
für 624,1218,38,22
die 673,1218,37,22
gute 721,1222,56,24
Idee, 172,1253,63,25
uns 257,1261,44,13
zu 322,1261,29,13
helfen. 372,1253,85,21
<EOS>
Beilage: 481,1253,105,29
14 608,1254,29,21
Hemden, 659,1254,117,26
