2310,3104
ADOLF 450,420,327,61
DIETRICH 887,422,532,61
<EOS>
<EOP>
Der 838,810,55,27
Maler 911,810,86,27
Adolf 1015,811,85,26
Dietrich 1119,810,125,27
aus 1263,820,48,17
Berlingen 1334,810,145,36
am 1498,820,45,17
Untersee 1564,811,134,26
wurde 1716,811,94,26
zur 1829,820,48,17
Zeit 1897,809,58,28
des 1974,810,47,27
heftigsten 764,866,151,36
Expressionismus 930,867,256,35
um 1205,877,46,16
das 1269,868,49,26
Jahr 1335,868,70,26
1928 1419,867,69,27
von 1501,877,55,16
den 1571,868,52,25
Deutsehen, 1638,867,161,26
entdeckt 1817,867,132,26
und 1965,867,56,25
sogleich 765,924,119,34
in 899,925,28,26
einer 943,924,73,27
Weise 1031,925,91,26
geschätzt, 1137,925,152,34
wie 1306,924,50,27
es 1372,934,27,17
in 1414,925,29,27
seiner 1458,924,88,27
Heimat 1562,924,114,26
bis 1692,924,41,26
heute 1749,925,83,25
wohl 1850,924,69,26
kaum 1935,924,85,26
der 764,980,48,28
Fall 826,981,59,27
ist. 897,980,44,28
<EOS>
Seine 959,980,78,28
Werke 1051,981,99,27
hängen 1163,982,110,34
seit 1287,980,51,28
langem 1351,981,110,35
in 1475,980,28,28
der 1516,981,47,26
Berliner 1577,981,124,27
Nationalgalerie 1715,980,235,35
und 1963,981,58,26
im 763,1037,38,27
Museum 816,1039,127,25
of 958,1038,28,27
Modern 1002,1039,114,27
Arts 1131,1039,65,26
in 1211,1038,29,27
New 1256,1039,66,25
York. 1337,1038,85,26
<EOS>
— 1438,1053,35,3
<EOS>
<EOP>
Die 837,1094,50,27
Tatsache, 908,1096,145,32
daß 1075,1096,54,26
dieser 1151,1095,87,27
außergewöhnliche 1258,1095,275,34
Künstler 1555,1095,134,26
Kleinbauer 1710,1094,170,28
ist, 1899,1094,45,33
war 1965,1104,56,16
vielfach 763,1151,121,28
der 900,1152,47,27
Anlaß, 964,1152,100,33
ihn 1082,1152,48,28
etwas 1146,1158,85,21
gönnerhaft 1248,1152,168,35
oder 1433,1152,66,27
halbpoetisch 1515,1151,193,35
als 1725,1152,39,26
«Bauerimialer», 1784,1151,237,32
als 764,1208,39,26
«Holzfäller 820,1209,166,26
und 1000,1210,57,25
Maler» 1072,1210,101,25
zu 1186,1219,35,16
bezeichnen. 1234,1208,177,27
<EOS>
Das 1428,1209,55,25
ist 1498,1209,35,25
ebenso 1548,1209,100,25
irrig 1663,1208,65,35
wie 1741,1208,50,26
jene 1803,1208,63,34
Methode, 1880,1208,140,32
ihn 763,1264,48,27
einfach 832,1265,110,27
unter 962,1271,82,21
den 1065,1266,53,26
mehr 1139,1266,78,26
internationalen 1236,1265,237,27
Titel 1494,1265,71,26
des 1586,1265,46,26
«maître 1657,1267,112,24
populaire» 1789,1264,161,35
mit 1969,1264,51,27
Beauchant, 765,1322,173,33
Bombois, 958,1322,142,34
Vivin 1118,1322,84,28
und 1219,1322,58,27
wie 1295,1322,50,27
sie 1361,1322,39,27
alle 1417,1322,51,27
heißen, 1487,1322,107,32
zu 1614,1332,33,16
klassieren. 1665,1322,157,26
<EOS>
Dietrich 1844,1322,124,26
ist 1985,1322,35,26
weder 763,1379,91,26
das 870,1379,49,26
eine, 937,1378,68,34
noch 1024,1379,72,26
das 1113,1379,48,26
andere. 1179,1379,110,27
<EOS>
Er 1309,1378,37,27
ist 1361,1378,37,27
ein 1416,1378,43,27
Maler, 1477,1378,93,33
der 1589,1378,48,27
sich 1654,1378,57,27
keiner 1728,1378,94,27
bestimmten 1839,1378,182,27
Schule 766,1435,98,27
anschließt, 877,1436,164,32
der 1054,1437,48,26
fernab 1113,1436,97,26
vom 1222,1446,65,16
Kunstgetriebe 1301,1435,218,35
der 1531,1435,47,26
Welt 1589,1435,74,26
wirkt. 1676,1435,88,26
<EOS>
Wenn 1779,1435,89,26
ihm 1879,1435,58,26
auch 1948,1436,72,26
seine 764,1492,73,28
Kaninchen 853,1493,166,28
und 1033,1494,58,25
seine 1106,1493,73,26
Reben 1194,1494,96,25
sehr 1306,1493,61,26
wichtig 1379,1492,114,35
sind 1507,1492,60,27
und 1582,1493,58,25
er 1655,1502,27,16
Galerien 1699,1492,127,26
und 1842,1493,55,26
Kunst¬ 1914,1493,104,25
häuser 762,1549,101,27
verschmäht, 879,1549,189,33
so 1086,1560,29,16
ist 1132,1549,36,27
er 1185,1560,28,16
doch 1230,1549,71,27
ein 1319,1549,43,27
Maler 1380,1549,86,27
im 1482,1549,38,26
üblichen 1537,1549,129,27
Sinne 1687,1549,83,27
des 1787,1549,47,27
Wortes; 1851,1549,122,27
er 1993,1560,26,15
hat 762,1606,49,26
seine 830,1606,73,26
Launen, 922,1607,124,31
schafft 1065,1606,101,26
neben 1185,1607,89,25
dem 1293,1606,63,26
Meisterwerk 1374,1605,187,27
auch 1580,1606,71,26
hie 1670,1606,43,26
und 1731,1606,56,27
da 1807,1606,35,26
eine 1860,1605,59,27
Niete 1939,1605,79,27
und 762,1663,58,26
legt 831,1663,57,35
das 902,1664,49,25
Vollendete 965,1664,163,26
mit 1140,1664,52,25
jener 1204,1664,77,34
achselzuckenden 1294,1664,255,25
Resignation 1563,1663,183,35
aus 1759,1672,49,17
den 1821,1664,53,25
Händen, 1890,1663,128,32
wozu 761,1729,78,17
nur 854,1730,52,17
eben 921,1720,70,27
der 1006,1720,47,27
Schöpfer 1071,1720,133,34
eines 1220,1720,72,26
Kunstwerkes 1311,1720,198,26
berechtigt 1526,1720,153,34
ist. 1695,1720,44,26
<EOS>
<EOP>
Er 835,1776,37,26
verschleudert 890,1776,208,27
seine 1118,1776,72,27
Bilder. 1213,1776,98,27
<EOS>
Es 1334,1776,36,27
wird 1389,1776,68,27
für 1477,1776,44,27
einen 1540,1776,79,27
zukünftigen 1637,1776,186,35
Biographen 1842,1776,176,34
nicht 761,1833,78,27
leicht 858,1833,83,26
sein, 960,1833,66,33
Dietrichs 1047,1833,137,27
Lebenswerk 1204,1834,183,25
zusammenzustellen. 1405,1833,306,27
<EOS>
Zwischenfälle 1732,1832,207,27
son¬ 1957,1843,61,16
derbarer 761,1891,131,26
Art 911,1890,51,26
ergeben 984,1891,118,34
sich 1123,1891,57,26
oft 1200,1891,40,26
aus 1260,1900,49,17
dem 1329,1891,63,26
Nebeneinander 1412,1890,231,28
der 1659,1891,47,25
schöpferisch-eigen¬ 1726,1890,292,34
willigen 759,1946,120,35
Welt 897,1946,73,27
des 989,1947,46,27
Künstlers 1057,1947,148,27
und 1223,1947,58,26
jener 1299,1946,76,35
des 1394,1946,46,27
Dorf-Alltags 1461,1946,189,35
und 1669,1947,57,27
seiner 1745,1946,88,27
Meinungen 1851,1946,167,35
und 759,2003,59,27
Gewohnheiten. 843,2003,228,28
<EOS>
<EOP>
Der 834,2060,54,26
Wirt 897,2060,72,26
und 981,2061,56,27
Jäger 1052,2061,83,35
aus 1146,2070,49,17
X. 1207,2062,33,25
<EOS>
läßt 1253,2061,59,26
sich 1324,2060,58,26
von 1392,2070,56,18
Dietrich 1457,2060,124,26
seinen 1593,2060,94,27
ausgedienten 1697,2060,200,35
Nieder¬ 1907,2060,111,27
laufhund 759,2118,138,27
malen. 915,2118,100,26
<EOS>
Dietrich 1037,2117,125,27
porträtiert 1179,2118,163,34
das 1361,2118,48,25
gutmütige 1427,2117,158,35
Tier 1603,2117,62,26
inmitten 1681,2117,133,26
einer 1831,2117,74,28
zarten 1922,2123,96,21
Vorfrühlingslandschaft 760,2173,356,36
in 1133,2173,28,27
einer 1178,2173,73,28
so 1268,2184,29,16
eindringlichen 1314,2173,219,36
und 1549,2174,57,27
ungewohnten 1624,2174,206,34
Weise, 1846,2174,99,32
daß 1963,2174,54,26
der 760,2231,48,26
unwillige 819,2230,138,36
Auftraggeber 969,2231,204,35
das 1184,2232,49,25
Bild 1246,2231,63,26
einfach 1320,2231,111,27
zurückweist. 1441,2230,192,27
<EOS>
Es 1648,2231,36,25
hat 1696,2231,49,25
seinen 1758,2231,94,27
Liebhaber 1864,2231,154,27
längst 758,2288,93,34
gefunden 870,2287,139,35
und 1027,2288,58,27
viele 1102,2287,71,28
Bewunderer 1192,2288,185,27
dazu. 1395,2288,80,26
<EOS>
Dietrich 1496,2287,125,27
verschenkt 1638,2288,168,27
ein 1825,2288,44,28
Blumen¬ 1888,2288,129,28
stück 759,2344,81,27
irgendeiner 858,2344,173,34
Blumenliebhaberin 1046,2344,293,27
seines 1357,2344,87,28
Bekanntenkreises 1459,2344,271,27
oder 1748,2344,66,27
aber 1828,2344,66,27
er 1908,2355,27,16
malt 1948,2345,70,27
das 759,2402,48,25
Porträt 828,2401,113,26
der 961,2402,47,25
Kellnerin 1030,2401,143,28
aus 1193,2411,49,18
dem 1262,2402,63,25
Seegarten, 1348,2401,157,35
das 1527,2402,48,25
Mädchen 1596,2401,135,26
mit 1753,2401,51,26
aufgelöstem, 1824,2402,193,34
onduliertem 759,2457,185,27
Haar, 956,2459,85,32
so 1052,2468,28,17
sachlich-trocken, 1094,2458,260,32
berichterstatterisch 1367,2457,303,27
und 1680,2458,57,27
gar 1748,2468,47,25
nicht 1805,2458,78,27
versüßt, 1892,2459,125,32
so 759,2525,28,17
fern 803,2515,62,27
vom 876,2525,66,17
Modischen, 955,2515,170,33
daß 1144,2515,55,27
er 1216,2525,28,16
nichts 1261,2515,90,28
weiter 1367,2515,94,26
als 1477,2515,39,26
Entrüstung 1530,2515,178,34
vom 1722,2525,66,16
Modell 1800,2515,102,27
erntet. 1917,2521,100,21
<EOS>
<EOP>
So 833,2571,35,27
lebt 881,2571,58,27
Dietrich 953,2571,125,27
in 1090,2571,28,27
der 1131,2572,48,27
Enge 1193,2571,76,35
seines 1282,2571,87,27
kleinen 1382,2571,111,27
Dorfes, 1507,2571,107,33
malt 1629,2572,69,26
so, 1711,2581,38,23
wie 1763,2571,50,27
der 1826,2572,48,26
Nachbar 1888,2572,130,26
Erbsen 758,2628,108,26
großzieht, 876,2628,154,35
mit 1041,2628,52,26
Bedachtsamkeit 1105,2627,249,27
und 1364,2628,58,25
der 1433,2628,48,25
Redlichkeit 1492,2627,177,28
der 1678,2628,48,26
zutiefst 1734,2628,113,27
heimatlich 1857,2628,161,27
verwurzelten 756,2685,202,28
Menschen. 970,2686,159,26
<EOS>
Der 1144,2685,54,26
in 1210,2684,29,27
der 1251,2685,47,26
Mitte 1311,2684,80,27
der 1404,2685,48,25
Sechziger 1466,2684,144,35
Stehende 1625,2685,139,27
hat 1776,2685,50,26
eine 1839,2685,59,28
Anzahl 1911,2685,107,27
Werke 757,2741,100,27
vollendet, 875,2742,152,30
die 1047,2742,44,26
zu 1110,2752,33,16
den 1162,2742,54,26
Meisterwerken 1234,2741,226,28
der 1478,2742,49,25
modernen 1544,2742,153,27
Malerei 1716,2742,111,26
zählen. 1845,2742,107,27
<EOS>
Sie 1975,2742,43,27
<EOS>
<EOP>
25 2157,2979,27,21
<EOS>
<EOP>
