2310,3104
enn 420,291,203,146
^purttaner 671,244,643,250
j'unqjurô 1372,237,548,295
<EOS>
<EOP>
Roman 641,748,185,24
von 862,752,101,21
Albert 1001,747,201,26
Jakob 1240,747,165,32
Welti 1447,747,168,24
<EOS>
<EOP>
6. 136,993,15,16
<EOS>
Fortsetzung 160,993,107,20
• 284,998,8,10
Copyright 310,992,90,21
1941 409,993,39,16
by 458,993,22,20
Morgarten-Verlag 488,993,163,21
A. 660,993,20,16
<EOS>
G., 686,993,28,20
<EOS>
Zürich 722,993,60,16
<EOS>
<EOP>
Endlich 187,1051,113,25
stand 310,1050,74,26
er 394,1059,27,16
wieder 430,1051,97,24
auf 536,1051,47,25
ebenem 588,1051,110,25
und 707,1051,54,25
fortlaufendem 770,1051,203,25
Boden 982,1051,93,25
Der 138,1090,54,23
suchende 207,1088,131,25
Fuß 348,1089,56,24
tauchte 415,1089,103,25
nicht 529,1089,72,24
mehr 615,1089,73,24
ins 699,1089,38,25
Leere, 749,1090,88,29
und 851,1089,55,24
der 920,1088,45,25
einheit¬ 976,1090,107,23
liche 136,1126,66,25
Widerstand 217,1126,165,25
ununterbrochener 395,1126,258,25
Fläche 665,1127,93,24
legte 770,1127,68,34
sich 852,1126,55,25
wie 919,1127,49,24
beruhi¬ 980,1127,105,24
gende 137,1164,85,33
Sicherheit 234,1164,141,26
gegen 388,1173,84,25
die 486,1164,41,25
Sohlen. 542,1165,103,25
<EOS>
Der 660,1165,55,25
Gewöhnung 729,1164,178,34
des 921,1164,43,26
körper¬ 978,1165,106,33
lichen 136,1202,85,25
Standgefühls 240,1201,182,34
folgte 439,1201,84,34
diejenige 540,1201,128,35
des 685,1202,44,26
sehenden 747,1202,131,26
Ortsinns 895,1203,122,25
nur 1035,1211,50,16
mühsam 136,1240,121,25
und 273,1240,55,25
mählich. 345,1240,120,25
<EOS>
Das 483,1240,54,25
Räumliche 555,1240,152,25
festigte 723,1240,104,34
sich 844,1240,55,26
zu 914,1248,33,17
Wänden 966,1240,119,26
eines 137,1278,69,24
breiten 219,1278,100,25
Kellergangs, 332,1278,180,33
der 527,1278,45,24
von 583,1287,56,16
beiden 651,1278,95,25
Enden 759,1278,94,25
her 864,1278,46,25
durch 924,1278,82,25
enge 1019,1287,66,24
Lücken 137,1316,107,24
etwas 253,1322,77,18
von 340,1324,55,16
dem 404,1316,60,24
Tageslicht 473,1316,148,34
erhielt, 630,1316,99,30
das 739,1316,43,25
draußen 793,1316,116,25
am 918,1325,41,16
Schwin¬ 969,1316,116,25
den 137,1353,51,25
war. 201,1362,60,16
<EOS>
Der 276,1354,55,24
mit 345,1354,46,24
Teppichen 405,1353,151,35
belegte 569,1353,102,35
Boden 683,1354,93,24
lenkte 788,1354,87,24
den 889,1354,51,24
Blick 953,1354,73,24
des 1040,1353,44,25
Mannes 137,1393,109,23
auf 268,1391,47,25
die 333,1391,41,25
ungewöhnliche 395,1391,219,34
Bestimmung 634,1393,181,33
der 837,1391,46,25
Oertlichkeit, 903,1392,182,30
die 138,1429,41,25
freilich 195,1429,100,26
ganz 312,1438,65,25
zur 394,1438,45,17
Art 456,1429,49,26
des 522,1429,44,26
Hauses 583,1431,100,24
paßte. 700,1430,86,34
<EOS>
Der 803,1431,56,24
Raum 875,1431,84,24
gehörte 976,1429,109,35
zum 136,1475,61,17
Kellergeschoß, 209,1467,215,34
wurde 436,1467,91,26
aber 538,1467,61,26
nicht 610,1468,72,25
als 694,1468,35,25
Keller 743,1468,88,25
benützt, 842,1468,116,31
sondern 971,1467,114,26
schien 137,1505,88,25
zu 244,1513,33,17
einer 296,1505,71,25
Art 384,1505,50,25
wohnlicher 453,1505,162,25
Halle 633,1505,77,26
hergerichtet 728,1505,173,34
zu 919,1514,33,16
sein. 972,1505,62,26
<EOS>
In 1054,1506,31,24
einem 137,1543,85,25
üppig 234,1543,82,34
profilierten 328,1543,160,34
und 500,1543,55,25
anscheinend 566,1543,175,25
aus 754,1553,44,16
alter 811,1543,62,25
Marmorarbeit 886,1543,199,25
gefügten 137,1581,126,34
offenen 280,1582,104,24
Kamin 400,1582,98,24
lagen 514,1581,75,34
Klötze 606,1582,96,24
und 719,1581,54,25
Späne 792,1582,83,33
für 891,1581,42,25
ein 950,1582,41,24
anzu¬ 1008,1589,77,17
zündendes 137,1618,149,25
Feuer 304,1620,81,23
geschichtet. 402,1619,167,33
<EOS>
Im 587,1620,40,23
Halbkreis 644,1619,138,25
davor 800,1619,83,25
gereiht, 899,1619,109,34
aber 1025,1618,61,25
auch 138,1655,66,26
sonst 216,1662,74,19
um 301,1665,45,16
Tischchen 357,1656,147,25
und 516,1656,54,25
den 583,1656,50,25
Wänden 646,1657,119,25
nach 776,1657,66,24
verteilt, 853,1657,111,30
standen 977,1656,108,25
aufreizend 138,1693,147,27
üppige 301,1694,97,34
Sitzgelegenheiten. 414,1694,257,34
<EOS>
Am 687,1694,54,25
einen 754,1695,76,25
Ende 845,1694,74,26
des 935,1694,44,26
Gangs 995,1695,90,32
war 137,1741,54,16
eine 208,1732,57,25
richtige 283,1732,108,33
Bar 409,1733,50,24
eingebaut, 476,1731,147,35
deren 643,1732,78,25
Hintergrund 739,1732,181,34
aus 938,1741,44,16
einem 1002,1732,84,25
Flaschengestell 137,1770,216,33
bestand, 371,1770,118,31
auf 508,1770,47,25
dem 570,1770,60,25
sich 649,1770,54,25
die 721,1770,41,25
Enzyklopädien 781,1770,215,33
alko¬ 1013,1770,72,25
holischer 137,1808,130,26
Möglichkeiten 300,1808,207,34
in 539,1808,27,24
eindrucksvoller 599,1808,224,25
Lückenlosigkeit 855,1808,231,34
übereinanderreihten. 137,1845,296,27
<EOS>
Die 454,1846,51,24
Türe, 525,1846,78,30
durch 623,1846,83,25
die 726,1846,40,25
der 787,1846,44,25
Mann 851,1847,82,24
hereinge¬ 953,1846,132,33
kommen 138,1884,125,24
war, 284,1892,61,22
mußte 367,1884,90,25
von 478,1892,55,17
selber 554,1884,83,25
wieder 656,1884,97,25
zugegangen 773,1892,171,26
sein. 965,1884,62,25
<EOS>
Er 1050,1884,36,24
schaute 138,1921,105,25
sich 259,1921,55,26
um 329,1930,45,16
und 389,1921,56,25
stellte 461,1922,83,24
fest, 559,1921,58,31
daß 634,1921,50,25
auf 701,1922,47,25
jeder 759,1922,71,34
Seite 847,1922,67,25
fünf 928,1921,63,26
völlig 1003,1921,83,34
gleich 138,1959,85,34
aussehende 235,1959,159,26
Türen 405,1960,89,25
in 504,1960,27,25
die 544,1959,40,26
Halle 596,1960,75,25
mündeten. 682,1959,150,26
<EOS>
Aber 846,1960,72,25
es 929,1969,25,16
war 967,1968,53,17
von 1030,1968,56,17
keiner 140,1997,87,25
Bedeutung, 237,1997,164,34
ob 413,1997,35,26
er 460,2006,26,16
den 497,1997,50,25
Rückweg 558,1997,134,34
fand. 703,1997,70,26
<EOS>
In 785,1999,30,23
seiner 826,1998,83,25
Lage 919,1999,70,32
führte 998,1997,87,26
jeder 138,2035,70,34
Ausweg 224,2035,116,34
über 358,2035,64,25
eine 439,2035,56,25
unmögliche 512,2035,169,34
Situation. 699,2035,136,26
<EOS>
Obwohl 854,2035,117,26
er 988,2044,27,16
nun 1031,2043,55,17
wieder 138,2073,97,25
bewußter 248,2073,136,25
gegenwärtig 396,2073,178,34
war, 588,2082,62,22
scheute 665,2073,105,25
er 783,2082,27,16
sich 825,2073,55,25
so 893,2082,30,16
wenig 936,2073,87,34
vor 1036,2080,50,18
dem 139,2111,60,24
Unausweichlichen 227,2111,260,25
als 514,2111,35,25
vorhin 577,2111,96,24
im 700,2112,37,23
Bann 764,2112,73,23
seiner 865,2112,83,24
willens¬ 975,2111,111,24
beraubenden 139,2148,184,25
Entrückung. 340,2148,182,34
<EOS>
Mit 541,2148,51,25
dem 610,2148,61,25
Frösteln 687,2149,119,24
war 823,2156,54,17
es 894,2157,26,16
besser 938,2148,87,25
ge¬ 1043,2156,43,26
worden. 138,2186,116,25
<EOS>
Aber 267,2186,72,25
der 350,2185,45,26
Hunger 405,2187,111,33
blieb 527,2185,68,26
tätig 607,2186,64,34
und 682,2186,55,25
leitete 748,2186,84,25
ihn 842,2186,46,25
zu 898,2195,33,16
einer 942,2187,70,24
Ent¬ 1023,2187,63,24
deckung. 139,2224,129,34
<EOS>
Auf 282,2223,58,26
einer 350,2224,69,25
Anrichte 431,2224,126,25
hinter 569,2224,85,25
der 666,2224,46,25
Bar 724,2225,49,24
standen 786,2224,108,25
große 907,2224,82,33
Teller 1002,2223,85,26
mit 138,2262,47,25
gestrichenen 198,2261,180,34
Brötchen 391,2262,131,25
bereit. 536,2261,89,26
<EOS>
Der 639,2262,55,25
Mann 707,2263,82,24
aß 803,2262,31,25
gierig 848,2262,82,34
von 943,2271,55,16
allen, 1012,2261,74,30
indem 141,2300,88,25
