2310,3104
Statuenhaft 128,143,157,28
gewaltig, 308,144,131,36
und 467,146,55,26
einzig 545,146,85,35
das 654,146,45,27
echt 725,147,58,27
holländisch 809,147,165,28
kurze 998,150,79,25
Naschen 128,184,123,25
saß 275,185,44,24
in 343,185,28,24
vereinsamter 395,185,184,25
Zierlichkeit 601,185,167,27
auf 790,187,47,26
ihrem 853,187,85,26
Gesicht. 959,189,117,25
<EOS>
<EOP>
Die 179,222,51,24
sechs 240,222,72,25
jungen 323,223,98,33
Mädchen 431,223,131,25
lebten 571,224,88,25
im 667,224,37,25
Hause 715,225,88,25
nebeneinanderher, 812,225,264,32
ohne 127,259,69,25
in 213,260,27,24
allzuenge 257,260,134,34
Berührung 408,261,156,34
zu 581,269,33,17
kommen. 632,262,133,25
<EOS>
Das 784,263,54,25
lag 856,263,42,34
wohl 915,263,72,26
nicht 1004,264,73,25
allein 126,296,76,26
in 213,297,27,25
den 253,297,52,26
stark 318,298,69,25
ausgeprägten 399,302,189,30
Artverschiedenheiten 600,299,308,27
begründet. 920,301,155,34
<EOS>
Margrit 126,335,111,33
war 252,344,54,16
die 321,335,41,25
einzige, 378,336,108,33
welche 502,336,98,26
sich 616,337,55,25
näher 686,338,79,24
mit 780,339,48,24
alfen 843,339,66,28
abgab. 925,339,92,34
<EOS>
Sie 1035,340,41,25
tat 126,378,37,20
nicht 179,373,73,24
so 270,382,30,16
abgemessen 318,373,170,33
vornehm, 505,374,138,32
wie 662,376,50,24
es 730,384,25,16
Mathilde 775,376,128,25
im 920,377,37,24
Brauch 975,378,102,24
hatte, 126,410,78,30
sie 221,411,36,24
gebärdete 273,411,138,34
sich 428,411,55,25
nicht 497,412,73,25
so 585,421,31,16
laut 631,412,54,26
modern, 700,413,119,32
wie 836,415,50,24
es 901,423,25,16
Colettens 944,415,132,24
Art 127,448,49,24
war, 189,457,62,22
und 263,449,55,24
sie 331,450,36,23
begriff, 379,449,101,34
daß 494,450,50,25
Hilde 554,450,79,25
Stöbermann 643,450,174,26
das 828,451,44,26
Leben 882,452,88,26
anders 983,453,91,25
ansah 127,486,80,26
als 220,486,36,25
Florence 267,487,124,24
Studley 403,487,107,34
oder 520,488,64,24
Nina 594,489,71,24
Pohnetramp. 675,489,184,34
<EOS>
Sie 876,490,40,25
kam 928,490,59,25
daher 998,490,79,26
meistens 127,524,121,25
gut 263,530,49,28
aus 326,533,45,16
und 386,525,55,24
wußte 456,526,89,24
sich 560,526,55,24
sogar 631,535,77,25
mit 722,527,48,25
der 785,527,46,25
nicht 845,528,72,25
unschwie¬ 931,528,145,26
rigen 126,561,73,34
Baslerin 213,562,115,25
erträglich 341,563,137,33
zu 491,572,33,16
stellen. 538,564,97,25
<EOS>
<EOP>
Ein 179,599,50,26
Gemeinsames 247,600,195,26
