2176,3261
Bernhard, 137,679,121,31
auch 272,680,57,28
in 344,683,21,24
der 379,681,38,27
Autobiographie, 432,681,198,35
pathetisch 643,681,124,35
immer 136,731,82,24
wieder 238,729,85,26
beschworenen 342,729,174,27
«in 537,732,32,25
die 589,730,34,27
entgegen¬ 643,735,123,30
gesetzte 137,782,96,30
Richtung»), 246,777,143,36
eine 404,781,48,24
Lebensmöglichkeit 467,778,233,36
aus¬ 715,787,52,19
serhalb 136,826,87,27
des 239,826,39,27
erstickenden 295,826,155,27
Systemzwangs 466,829,179,33
und 663,827,45,27
un¬ 726,837,40,17
abhängig 136,874,115,35
von 261,883,44,19
ihm 318,875,47,27
(worauf 379,874,103,33
Handke 491,875,92,28
in 595,879,21,24
seinen 628,878,75,25
poe¬ 715,884,51,27
tischen 136,922,85,28
Entwürfen 237,922,132,29
besteht) 384,923,101,31
gibt 502,924,46,34
es 564,932,23,19
bei 603,924,34,28
Bernhard 653,924,114,27
nicht, 137,971,66,29
bei 212,971,34,28
dem 256,972,52,27
es 318,980,22,19
- 351,988,11,2
aut 371,977,39,22
Cäsar 418,974,67,26
aut 493,978,39,22
nihil 541,972,53,28
- 603,989,13,2
immer 625,975,81,25
ums 715,981,52,20
Ganze 136,1022,71,25
geht, 215,1020,60,36
ums 285,1029,53,18
Ganze 347,1023,71,25
der 428,1021,39,27
Existenz, 477,1024,108,27
der 595,1021,40,27
Natur, 643,1024,75,27
der 728,1022,39,27
Gesellschaft. 136,1068,147,28
<EOS>
<EOP>
Gegen 170,1119,74,33
Natur 253,1120,71,25
und 334,1118,44,28
Gesellschaft 388,1118,141,28
sich 538,1118,45,28
abschliessend, 594,1118,171,33
schliessen 136,1165,119,29
diese 267,1167,58,27
Künstler 338,1167,101,27
sich 451,1167,46,28
aus, 511,1175,48,26
machen 572,1168,96,27
sich 681,1168,46,27
zu 739,1176,27,19
Aussenseitern. 135,1217,174,26
<EOS>
die 323,1215,34,28
für 370,1214,36,28
krank 418,1215,71,27
oder 503,1216,54,27
närrisch 570,1216,101,28
gelten. 683,1216,82,35
<EOS>
Von 135,1265,45,26
Glenn 191,1263,69,28
sagt 271,1269,47,30
der 328,1264,39,27
Erzähler, 377,1264,107,30
er 494,1273,24,19
sei, 527,1267,36,26
auf 574,1264,41,28
dem 621,1265,54,27
Gipfel¬ 686,1264,79,36
punkt 134,1311,73,36
seiner 214,1315,70,24
Kunst, 293,1315,75,29
«der 379,1313,51,27
hellsichtigste 438,1312,160,36
aller 607,1313,53,28
Narren» 668,1317,97,24
gewesen 134,1369,103,27
- 257,1377,11,1
eine 288,1364,48,25
Charakterisierung, 355,1361,228,37
die 603,1362,34,27
allenfalls 657,1361,108,28
durch 133,1409,69,29
die 214,1410,34,27
Exzentrizitäten 261,1412,183,25
Glenn 456,1410,69,28
Goulds 538,1411,82,27
nahegelegt 632,1411,132,35
sein 134,1461,45,24
könnte, 192,1457,92,32
generell 298,1458,95,36
aber 406,1458,53,28
die 472,1459,33,28
Stellung 520,1459,100,35
des 632,1460,39,27
Künst¬ 684,1462,80,25
lers, 134,1507,47,27
des 197,1507,39,27
auf 251,1506,42,28
Autonomie 305,1510,138,24
pochenden 458,1508,132,35
Individuums 607,1508,157,27
»im 134,1558,41,24
emphatischen 191,1555,171,36
Sinn» 378,1558,66,25
(Adorno) 461,1556,114,31
in 594,1558,21,25
der 630,1556,38,27
durch¬ 682,1556,82,28
rationalisierten, 133,1604,181,33
tatsächlich 330,1604,125,28
zur 471,1614,39,18
«Universalmaschine- 525,1604,239,28
gemachten, 132,1652,142,36
ursprünglich 287,1654,157,34
bürgerlichen 455,1654,155,35
Gesellschaft 622,1653,142,28
bezeichnet: 133,1702,137,27
man 285,1710,53,19
denke 352,1702,74,27
an 440,1710,28,20
Tasso, 483,1705,72,28
Arnold 569,1702,84,28
Kramer. 667,1705,97,26
<EOS>
Bernhards 132,1749,126,28
Minetti 267,1753,84,24
: 359,1763,3,14
im 372,1753,30,24
Stück 411,1751,67,27
dieses 486,1751,70,27
Namens 565,1753,99,25
sind 671,1751,50,27
die 729,1752,34,26
ersten, 132,1803,81,26
beim 235,1798,60,27
Auftritt 318,1798,88,28
des 428,1799,39,27
Helden 489,1800,83,27
gesprochenen 594,1800,169,35
Worte: 131,1850,84,25
«ein 230,1851,48,24
komischer 292,1847,128,28
Herr». 433,1851,74,24
<EOS>
Und 168,1897,47,27
sie 224,1900,31,24
schliessen 265,1897,119,27
sich 394,1897,46,27
ein: 452,1899,48,26
zunächst 510,1897,110,27
in 631,1902,20,22
ihren 662,1898,62,27
sei 734,1901,29,24
¦es 124,1952,30,20
oberösterreichischen 163,1944,256,29
(Wertheimer) 433,1944,170,33
oder 617,1946,54,28
ameri¬ 682,1950,79,24
kanischen 131,1993,122,28
(Glenn) 268,1993,96,32
«Käfig» 379,1993,84,36
oder 476,1995,55,27
«Kerker», 543,1995,111,28
im 667,1998,31,24
wei¬ 710,1999,52,24
tem 130,2047,49,22
in 193,2046,21,23
ihre 229,2041,45,29
Kunst 290,2045,69,24
als 373,2042,31,27
in 419,2046,21,23
ihren 456,2042,60,28
Kopf; 533,2043,64,36
sie 613,2046,30,25
sind 658,2044,49,27
alle 721,2044,40,28
«Mörtelmenschen» 131,2090,228,28
wie 383,2094,43,24
Bernhards 450,2091,126,28
erste 600,2098,58,22
ausge¬ 682,2101,79,27
wachsene 130,2140,116,27
Künstlerfigur, 255,2139,167,35
der 432,2140,40,27
Maler 479,2140,69,27
Strauch 556,2141,93,27
in 660,2145,22,23
Prost, 692,2144,68,27
der 130,2189,38,27
so 182,2197,24,19
bezeichnet 219,2189,128,28
wird, 362,2189,62,29
weil 439,2189,49,27
er 503,2198,23,18
sich 539,2189,46,28
einmauert 600,2193,126,24
in 740,2193,21,24
seinen 129,2239,74,25
Kopf. 212,2236,61,36
<EOS>
Der 282,2240,43,25
Kopfkünstler 333,2236,159,36
Glenn 500,2237,70,27
Gould, 578,2238,78,30
der, 665,2239,44,28
wie 718,2242,42,25
ein 130,2289,35,23
Biograph 182,2286,112,36
bemerkte, 311,2286,123,30
die 451,2286,34,27
Musik 504,2286,73,27
nicht 594,2286,60,27
so 671,2295,24,19
sehr 712,2287,50,28
spielte 129,2334,76,34
als 220,2335,31,26
dachte, 267,2335,87,29
kam 370,2335,52,27
auch 439,2335,56,27
in 511,2338,21,23
dieser 548,2335,70,26
Beziehung 633,2334,128,37
Bernhards 130,2383,125,28
Begriff 267,2383,84,37
vom 360,2393,53,18
Künstler 425,2384,103,28
entgegen. 539,2389,120,30
<EOS>
In 672,2386,24,24
dem 708,2383,52,28
Masse, 129,2432,77,28
in 223,2435,20,24
dem 260,2432,52,28
diese 329,2433,59,27
Künstler 403,2433,102,27
ihre 522,2433,44,27
Kunst 583,2436,69,24
beherr¬ 669,2432,91,31
schen 130,2479,67,27
(auf 210,2480,52,30
sie 269,2484,31,25
konzentriert 309,2482,152,28
sind), 470,2482,70,31
sind 550,2482,49,28
sie 608,2485,31,25
auch 649,2482,57,28
von 716,2490,44,19
ihr 130,2526,33,28
beherrscht 172,2528,129,29
(von 315,2530,55,30
ihr 383,2531,33,26
besessen), 426,2531,124,30
wofür 562,2531,75,27
sich 646,2531,47,27
auch 703,2531,56,27
sagen 130,2583,66,27
lässt: 207,2576,65,28
von 283,2587,45,19
sich 339,2579,45,27
beherrscht, 395,2579,138,30
von 544,2589,44,18
sich 599,2580,46,28
besessen 656,2580,103,28
(wobei, 132,2624,91,30
wie 237,2629,43,24
gesagt, 294,2633,81,29
immer 392,2631,80,24
mitzudenken 486,2629,161,27
ist: 664,2632,35,24
von 715,2638,44,18
sich 130,2671,45,27
als 188,2672,31,27
Opfern 233,2673,82,35
ihrer 329,2675,57,28
Disziplin, 399,2677,112,35
was 526,2686,45,18
heisst 584,2677,70,28
indirekt 667,2677,92,28
von 130,2728,43,18
der 187,2720,39,27
Gesellschaft); 240,2722,163,31
sie 419,2728,31,25
hassen 464,2725,80,28
darum 559,2726,81,27
(wie 659,2728,55,29
sie 729,2730,30,24
Natur 130,2769,68,26
und 218,2769,45,27
Gesellschaft 284,2771,140,29
hassen) 445,2774,93,31
ihre 561,2775,46,27
Kunst, 627,2778,77,29
die 725,2776,34,27
Musik 129,2816,73,27
- 211,2832,12,2
«sein 232,2820,56,24
Hass 298,2821,54,25
auf 361,2819,40,27
die 406,2821,34,27
Musik», 449,2823,92,30
notierte 550,2827,94,25
zu 653,2833,26,19
Glenn 688,2824,70,28
der 129,2863,39,28
Erzähler 177,2864,102,28
-, 289,2881,19,15
das 318,2867,39,26
Klavier 367,2868,87,28
(der 466,2870,50,31
Erzähler 526,2872,102,27
liefert 638,2873,70,27
mit 718,2877,40,24
Gelächter 130,2912,115,28
seinen 281,2918,74,23
kostbaren 393,2916,119,29
Steinway 550,2922,111,33
einer 699,2925,60,24
schwachsinnigen 129,2960,209,36
Lehrerstochter 354,2963,179,30
aus, 547,2975,47,21
die 610,2968,34,27
ihn 660,2969,38,27
rui¬ 714,2973,43,23
