2312,3102
Ich 291,332,136,88
leide 454,332,196,90
unter 679,362,230,60
der 935,332,139,90
Vorsicht 1092,332,359,88
des 1477,332,133,90
Betriebs» 1641,330,379,90
Egon 274,533,92,43
Ammann 378,533,171,32
war 561,544,66,21
Diener 641,533,120,32
eines 774,535,85,30
spanischen 874,531,191,45
Matadors, 1079,532,177,38
als 1272,532,44,33
ihn 1330,532,59,33
Siegfried 1403,531,154,46
Unseld 1571,531,123,34
ins 1708,535,48,30
Lektorat 1770,531,150,34
von 1932,544,64,20
Suhrkamp 315,612,185,45
holte. 514,612,95,34
<EOS>
1981 629,616,75,33
gründete 723,612,157,46
er 893,626,32,20
seinen 938,616,109,30
eigenen 1062,616,132,42
Verlag. 1206,613,121,45
<EOS>
Die 1344,615,61,31
Ankündigung, 1416,612,264,46
diesen 1696,612,109,34
2010 1819,616,84,30
zu 1918,626,39,20
schliessen, 286,693,181,39
nahm 482,693,102,34
die 599,694,50,34
Branche 665,694,143,33
als 822,694,44,33
Fanal 881,693,96,34
auf. 991,693,63,35
<EOS>
Ammann 1068,696,172,32
bedauert, 1254,694,163,38
dass 1433,694,72,34
Buchleute 1519,693,175,35
kaum 1708,693,100,34
noch 1822,693,86,34
von 1921,707,64,20
<EOS>
<EOP>
Bankmanagern 796,776,272,44
zu 1081,789,41,20
unterscheiden 1135,776,244,33
sind. 1393,776,81,33
<EOS>
Egon 618,897,78,36
Ammann 705,896,145,27
im 863,898,36,25
Gespräch 914,894,127,39
mit 1052,898,51,25
Julian 1108,894,91,36
Schutt, 1211,894,105,33
Porträts 1328,897,115,26
Regina 1453,896,104,36
Hügli 1567,894,87,38
<EOS>
<EOP>
Egon 160,1162,69,32
Ammann, 238,1162,140,29
der 390,1160,48,27
Schriftsteller 445,1160,185,27
Thomas 640,1161,110,26
Hürlimann 761,1161,153,26
hat 926,1161,49,26
die 985,1161,42,26
Schweiz 158,1210,114,27
kürzlich 281,1210,111,27
einen 404,1211,75,26
Holzboden 492,1211,151,26
genannt, 654,1214,127,31
weil 796,1211,57,26
man 862,1218,63,19
Ihren 936,1211,72,26
Verlag 161,1260,90,35
sang- 260,1268,79,26
und 350,1261,55,26
klanglos 414,1260,122,35
eingehen 546,1261,129,34
lasse. 687,1261,74,26
<EOS>
Gibt 776,1261,61,26
es 847,1268,28,19
diese 886,1261,72,26
Ignoranz 969,1262,127,33
tatsächlich? 160,1310,175,27
<EOS>
Ist 345,1312,36,25
Deutschland 390,1311,185,26
so 582,1318,31,19
viel 625,1311,49,26
aufgeschlossener? 683,1311,262,34
<EOS>
Thomas 160,1361,116,26
Hürlimann 287,1361,162,26
hat 459,1361,44,26
für 513,1361,42,26
sich 565,1361,51,26
gesprochen, 626,1361,165,35
nicht 801,1361,70,26
für 881,1361,42,26
Marie-Luise 934,1363,173,25
Flammersfeld 159,1411,197,26
und 370,1411,54,27
mich. 439,1412,77,26
<EOS>
Denn 531,1413,78,25
uns 624,1422,48,16
ging 686,1413,63,33
es 762,1422,25,16
nicht 802,1412,69,26
ums 885,1422,58,16
Weiterma¬ 957,1413,150,25
chen, 159,1462,73,31
sondern 245,1461,111,26
um 367,1472,47,16
die 427,1461,40,26
Schliessung 480,1461,164,35
des 655,1462,44,26
Verlags 712,1462,102,34
auf 827,1462,48,26
Ende 883,1462,73,26
Juni 968,1463,56,31
2010, 1038,1463,69,30
nach 160,1511,64,26
eingehender 237,1511,172,34
Analyse 422,1511,111,34
der 546,1511,44,27
Situation. 603,1513,134,25
<EOS>
Und 749,1512,60,26
natürlich 824,1512,126,26
haben 963,1512,83,26
wir 1060,1513,47,24
auch 160,1561,64,27
in 241,1563,26,24
der 284,1561,45,27
Schweiz 345,1561,116,27
immer 478,1563,93,25
Unterstützung 588,1563,206,33
erhalten. 811,1562,120,26
<EOS>
Das 949,1563,53,25
ist 1020,1563,30,25
ein 1066,1563,41,25
Irrtum 161,1613,95,24
von 268,1622,48,15
ihm. 329,1612,62,25
<EOS>
Mir 159,1711,48,26
fehlt 216,1711,66,26
der 290,1711,46,26
Glaube, 345,1711,106,31
dass 464,1711,63,26
sich 535,1711,54,26
kein 600,1711,57,27
geeigneter 666,1711,153,34
Nachfolger 827,1711,158,34
für 993,1711,42,26
einen 159,1761,75,26
der 245,1761,46,26
renommiertesten 299,1761,239,26
deutschsprachigen 549,1761,265,34
Verlage 826,1761,104,34
finden 941,1761,88,26
liess. 1040,1761,64,26
<EOS>
Da 160,1814,42,23
sind 215,1812,57,25
wir 286,1814,48,23
gescheitert. 348,1812,156,34
<EOS>
Wir 519,1814,56,23
waren 589,1823,87,15
nicht 691,1813,68,25
primär 773,1814,98,33
darauf 885,1812,96,26
aus, 991,1823,52,20
den 1057,1813,50,25
Verlag 160,1862,91,35
zu 262,1873,33,15
verkaufen; 306,1862,148,31
lieber 465,1862,77,26
hätten 553,1862,86,26
wir 651,1864,48,24
ihn 710,1863,44,25
einem 765,1864,85,24
geeigneten 860,1864,150,33
Nach¬ 1021,1863,86,25
folger 161,1913,79,33
übergeben. 249,1913,153,33
<EOS>
Wir 411,1914,57,24
machten 478,1913,119,25
mehrere 605,1913,117,25
Anläufe, 732,1913,121,31
aber 863,1913,59,26
niemand 930,1913,125,25
hat 1065,1913,43,25
die 160,1963,41,25
Chance 214,1963,106,25
gepackt 334,1963,107,33
— 454,1980,18,1
vermutlich 485,1963,151,25
war 650,1974,53,14
alles 717,1963,59,25
zu 791,1974,33,14
eng 837,1973,50,23
auf 900,1963,48,25
uns 958,1973,48,15
ausge¬ 1020,1973,87,23
richtet, 161,2013,96,31
hatten 273,2013,89,25
wir 378,2014,47,24
eine 443,2014,56,24
zu 516,2023,33,15
persönliche 566,2013,159,33
Handschrift. 743,2013,179,25
<EOS>
Auch 941,2013,74,25
einen 1033,2014,74,24
Verkauf 160,2062,118,26
haben 292,2062,85,26
wir 396,2064,48,24
erwogen 462,2073,121,23
— 600,2079,19,2
und 637,2062,55,27
verworfen. 711,2062,150,26
<EOS>
Für 881,2064,51,24
eine 952,2064,56,24
blosse 1027,2062,80,26
Weiterführung 161,2113,213,34
als 387,2113,35,26
Imprint 437,2114,109,33
unter 560,2121,73,18
einem 647,2115,85,24
neuen, 746,2123,91,21
grossen 851,2123,104,24
Dach 970,2113,72,26
wa¬ 1057,2123,50,16
ren 161,2173,43,16
wir 216,2165,46,24
vermutlich 274,2163,152,26
zu 438,2173,32,16
stolz. 482,2163,70,26
<EOS>
Selbst 158,2262,88,27
bekannte 255,2262,134,27
Autoren 397,2264,117,25
wie 527,2262,45,27
Matthias 583,2262,132,27
Zschokke 723,2262,132,27
fühlen 866,2262,90,27
sich 966,2262,55,27
im 1033,2262,34,26
Stich 158,2312,71,26
gelassen. 239,2311,129,35
<EOS>
Sind 380,2311,65,27
Sie 453,2312,41,26
glücklich 503,2312,129,34
über 643,2312,67,26
die 718,2312,41,26
jetzige 765,2312,99,34
Radikallösung? 875,2311,222,35
<EOS>
Der 160,2365,54,24
Abschied 228,2363,129,25
fällt 372,2363,53,26
uns 438,2374,48,14
allen 500,2363,64,25
schwer; 578,2363,104,31
der 695,2363,44,26
Verlag 753,2363,90,35
war 856,2374,52,15
unser 922,2374,76,15
Leben. 1012,2363,95,26
<EOS>
Es 161,2415,33,23
ist 212,2415,29,23
immer 259,2415,94,23
hart, 371,2414,65,29
wenn 454,2423,76,15
man 549,2423,61,15
einsieht, 627,2413,116,30
dass 760,2413,57,25
man 835,2423,62,15
etwas 914,2421,78,17
ändern 1010,2413,97,25
muss. 160,2473,77,15
<EOS>
Aber 252,2462,70,26
wir 336,2464,47,24
sind 397,2462,56,26
auch 467,2462,65,26
Unternehmer. 545,2463,196,25
<EOS>
Die 755,2464,50,24
Umsätze 819,2464,124,24
gingen 956,2464,96,33
be¬ 1065,2463,42,25
drohlich 161,2512,117,25
stark 291,2512,69,25
zurück, 373,2512,109,31
und 494,2512,55,25
wir 562,2514,48,23
konnten 622,2513,115,25
nicht 751,2512,69,25
tatenlos 833,2513,107,24
zuschauen, 953,2512,155,31
wie 162,2564,47,23
sich 223,2562,50,25
Verluste 287,2562,113,25
anhäufen. 413,2562,139,25
<EOS>
Wir 566,2564,56,23
hätten 635,2562,88,25
uns 737,2573,47,14
grundlegend 797,2562,181,34
neu 991,2572,50,15
auf¬ 1054,2562,53,25
stellen 161,2613,86,24
und 261,2612,54,25
den 329,2612,50,25
Verlag 392,2612,91,34
entsprechend 496,2613,185,33
umbauen 694,2612,132,25
müssen. 839,2616,111,21
<EOS>
Das 964,2614,54,23
Inter¬ 1031,2614,76,23
net 161,2670,42,18
wird 212,2662,65,26
in 287,2664,26,23
unserer 323,2673,104,15
Branche 438,2662,114,26
immer 561,2664,94,24
