2280,3100
14- 146,88,39,23
Dezember 208,81,151,23
1895.] 385,80,87,33
<EOS>
SCHWEIZERISCHE 806,83,305,24
BAUZEITUNG 1134,85,221,23
160 1950,84,49,25
das 106,143,46,23
Programm 176,143,160,29
bereits 359,143,98,23
an 480,151,31,15
40 535,151,34,22
Architekten 591,144,171,23
versandt 790,144,125,24
worden 937,144,109,23
war. 106,188,61,16
<EOS>
Dies 217,179,63,25
bestimmte 312,181,155,23
den 497,181,49,22
zürcherischen 583,182,202,23
Ingenieur- 813,183,153,28
und 995,182,50,22
Architekten-Verein 104,218,289,23
in 428,220,22,21
seiner 488,219,87,23
Sitzung 606,219,109,30
vom 746,226,63,16
9. 842,229,22,20
<EOS>
Dezember 897,220,150,22
gegenüber 105,257,154,28
dein 282,256,59,22
Tonhalle-Vorstand 365,256,281,23
den 670,257,50,22
Wunsch 739,257,118,23
zu 879,264,29,15
äussern, 930,259,117,21
es 107,301,26,16
möchte 156,294,106,23
clic 285,293,42,22
Preisbewerbung, 346,294,250,29
nachdem 620,295,128,23
sie 766,296,37,22
nun 819,302,51,16
schon 892,295,80,23
eine 990,295,56,22
solche 105,332,91,22
Ausdehnung 213,331,181,29
und 410,333,51,22
Oeffentlichkeit 479,332,219,23
erlangt 720,334,105,26
habe, 842,333,76,23
auf 936,331,45,25
alle 995,333,51,22
schweizerischen 106,368,235,23
und 364,369,53,22
in 440,371,23,21
der 481,370,47,23
Schweiz 544,369,116,23
niedergelassenen, 683,370,259,30
sowie 964,371,82,21
auf 106,406,46,24
die 172,406,41,22
in 237,406,24,22
der 284,406,47,22
früheren 355,406,122,24
Konkurrenz 500,407,173,23
ausgezeichneten 696,408,236,30
Archi¬ 955,408,92,21
tekten 107,445,85,22
erstreckt 209,444,130,23
werden. 356,445,115,23
<EOS>
Der 504,445,55,23
Tonhalle-Vorstand 573,445,278,23
kam 869,445,59,22
diesem 946,445,100,22
Wunsche 105,479,136,26
insofern 264,482,116,23
nach, 403,484,75,27
als 505,483,39,22
er 566,489,28,16
nun 621,490,53,15
jedem 693,480,77,35
Architekten, 793,483,180,26
der 1002,483,45,22
darum 107,519,94,23
einkam, 232,519,113,28
die 375,520,42,22
Mitbewerbung 448,521,216,28
gestattete. 693,522,148,27
<EOS>
Der 885,520,53,23
engere 967,527,81,25
Wettbewerb 106,557,188,23
war 310,563,56,18
dadurch 382,557,118,24
zu 517,565,29,15
einem 563,559,85,21
internationalen 671,555,199,33
geworden. 893,557,153,29
<EOS>
<EOP>
Das 196,594,55,22
bezügliche 273,595,155,29
Programm, 451,597,170,27
das 644,595,46,22
sich 713,596,55,22
in 791,596,23,22
Bd. 831,594,44,24
<EOS>
XVIII 899,594,84,24
auf 1005,594,46,23
S. 107,632,24,24
<EOS>
145 152,638,47,23
u. 219,639,21,15
<EOS>
160 264,632,48,22
u. 329,640,22,15
<EOS>
Z. 369,632,26,22
<EOS>
mitgeteilt 418,633,143,30
findet, 577,632,89,24
verlangte 689,633,139,29
einen 846,633,74,21
grossen 936,639,110,22
Konzertsaal 105,671,175,22
fiir 310,670,41,23
1400 383,677,67,23
Personen 481,671,130,22
mit 641,671,49,22
900 718,677,51,23
nr 799,678,34,15
Grundfläche, 861,670,186,23
einen 108,709,72,22
kleinen 207,707,105,23
für 343,708,39,22
500 412,715,51,20
Personen 492,710,134,22
mit 654,709,49,22
320 732,715,50,22
nr 805,715,34,16
Grundfläche 869,707,179,24
(einschliesslich 108,743,223,34
der 348,745,47,22
Gallerieen). 411,743,176,33
<EOS>
und 606,745,51,23
einen 682,746,73,22
Pavillon 773,746,121,23
von 914,752,48,15
etwa 980,748,67,19
750 108,789,51,21
nr 175,790,34,14
Grundfläche. 226,782,187,23
<EOS>
Die 446,785,49,21
Verhältnisse 513,782,181,28
waren 710,790,88,16
also 816,784,57,21
denjenigen 890,781,157,31
der 108,820,46,23
ersten 176,823,86,19
Konkurrenz 279,820,173,23
ziemlich 473,821,123,23
gleich, 618,821,95,28
nur 736,828,49,15
waren 806,827,88,16
an 918,827,29,15
Stelle 965,820,82,22
der 108,858,47,23
Musikschule 170,857,181,24
zwei 372,860,65,21
Uebungssäle 453,859,187,27
mit 663,859,47,22
den 732,858,49,23
nötigen 804,859,108,27
übrigen 933,858,114,28
Räumen 106,896,119,23
vorgesehen. 248,896,174,28
<EOS>
Die 464,897,51,22
Bausumme 531,896,161,22
war 715,902,55,16
auf 787,897,45,22
1 856,903,7,15
150000 880,902,110,18
Fr. 1007,896,39,21
<EOS>
(zu 108,930,38,34
20 172,940,31,15
Fr. 227,933,41,22
<EOS>
per 295,940,49,23
in5) 364,930,45,34
für 439,934,41,22
den 508,933,49,22
Pavillon 580,933,124,23
und 733,934,50,22
28 809,935,30,22
Fr. 864,934,40,21
<EOS>
für 936,933,40,22
die 1005,932,42,23
übrigen 108,971,112,27
Bauten) 245,968,108,33
beschränkt, 376,970,168,28
wozu 566,977,74,16
noch 662,970,68,22
100000 756,977,112,16
Fr. 886,970,39,22
<EOS>
für 949,970,40,22
die 1006,970,42,22
Tcrrassierung 106,1008,206,27
und 334,1008,50,22
den 410,1008,49,23
Garten, 482,1009,107,26
70000 614,1014,94,21
Fr. 725,1008,42,23
<EOS>
für 790,1008,41,22
Mobiliar 847,1008,126,22
und 996,1008,50,22
30000 108,1052,95,23
Fr. 225,1044,41,24
<EOS>
für 299,1046,39,22
die 366,1045,41,23
Beleuchtung 437,1046,182,28
(zusammen 642,1041,165,35
1 832,1052,6,16
350000 857,1052,113,22
Fr.) 994,1042,53,32
<EOS>
zu 106,1091,29,15
rechnen 157,1083,115,23
waren. 294,1089,97,16
