2254,2981
13Ô 191,80,42,24
SCHWEIZERISCHE 898,75,298,27
BAUZËITUNG 1212,75,221,24
Bd. 1906,73,46,22
<EOS>
115 1969,72,45,24
Nr. 2040,72,46,24
<EOS>
11 2101,71,30,23
blechhöhen 186,135,163,22
der 362,135,46,22
Hauptträger 417,134,182,28
variierend 608,133,148,23
von 770,138,52,16
7 836,134,15,20
m 861,138,28,14
über 903,132,65,20
den 978,132,50,20
Strom- 1038,131,100,21
Öffnungen 188,169,147,27
bis 349,169,40,22
4,10 404,168,53,26
m 467,174,27,16
beim 508,168,71,21
östlichen 594,168,127,21
Widerlager. 732,167,169,26
<EOS>
Die 926,165,49,21
Fahrbahn¬ 985,164,152,21
breite 187,204,83,21
beträgt 284,203,107,27
gleich 412,203,85,26
dem 518,203,58,20
Hauptträgerabstand 596,201,298,27
12 914,201,29,20
m, 959,205,34,19
während 1014,198,124,21
die 189,238,41,21
beidseitigen 246,237,171,27
je 431,237,26,25
1,80 472,236,53,26
m 535,240,27,17
und 577,236,53,21
1,20 647,235,52,25
m 709,240,27,17
breiten 750,235,103,21
Radfahr- 863,234,130,21
und 1008,233,53,20
Geh¬ 1072,232,66,21
wege 189,277,73,21
auf 278,272,48,20
seitlichen 345,270,135,22
Konsolen 500,270,132,21
ausgekragt 654,268,164,27
sind. 838,268,66,21
<EOS>
Die 930,268,48,20
Fahrbahn 998,266,142,22
besteht 188,306,104,21
aus 312,310,49,17
unmittelbar 381,305,171,21
befahrenem 573,303,170,21
Rüttelbeton 765,301,171,22
auf 958,301,48,21
Buckel¬ 1028,300,111,21
blechen. 187,340,116,21
<EOS>
Die 326,339,48,21
grösste 395,338,105,27
Paketdicke 515,337,161,22
der 698,337,45,20
Gurtplattenstösse 758,334,255,28
beträgt 1032,334,108,26
240 188,373,46,21
mm, 249,378,62,19
sodass 326,373,94,21
noch 434,372,70,21
alle 518,372,52,21
Stösse 585,371,91,22
genietet 695,369,117,28
werden 826,370,105,21
können, 946,368,111,25
ohne 1073,367,67,22
Verwendung 189,406,183,27
konisch 385,406,110,21
gedrehter 515,405,139,26
Bolzen. 669,405,103,20
<EOS>
— 787,415,32,3
Der 832,404,54,20
Entwurf 903,401,122,22
für 1040,401,45,21
die 1099,401,41,21
doppelspurige 188,440,199,27
Eisenbahnbrücke 395,439,248,22
sieht 654,439,69,21
gerade 731,438,96,27
durchlaufende 836,435,205,23
Paral¬ 1049,436,90,20
lelfachträger 188,474,190,27
mit 387,473,49,22
einer 451,473,71,21
Ausfachung 532,472,174,27
durch 721,471,82,22
vierfachen 813,471,152,22
Strebenzug 979,470,161,24
vor. 190,513,54,16
<EOS>
Die 258,508,49,20
Fahrbahn 323,508,142,21
liegt 478,507,66,26
unten, 559,507,88,24
der 665,507,46,20
Hauptträgerabstand 726,505,295,27
beträgt 1033,503,108,27
9,50 190,542,53,24
m. 257,547,35,15
<EOS>
— 306,553,31,2
Wuchtige 351,541,138,27
Wehrbauten 506,541,175,21
betonen 702,540,111,20
und 833,539,53,21
schützen 902,538,125,22
zeitge- 1043,538,96,26
mäss 190,576,72,21
in 277,576,27,21
beiden 319,577,92,19
Entwürfen 427,575,155,22
die 597,574,41,21
westlichen 653,574,153,21
Widerlager. 820,572,170,27
<EOS>
<EOP>
Fernleitungen 249,617,205,26
an 476,622,35,16
Flugzeugen 533,616,169,27
behandelt 725,615,140,21
ein 886,613,44,21
Aufsatz 952,613,115,21
von 1089,617,52,16
H. 190,652,33,20
<EOS>
Müllenbach, 233,650,173,25
Dessau, 428,652,109,23
in 558,650,29,21
der 606,650,47,21
Zeitschrift 671,648,154,23
«Deutsche 845,648,146,21
Technik» 1009,646,131,21
vom 190,691,61,16
Februar 265,686,118,20
1940. 398,684,67,22
<EOS>
Um 489,685,53,21
den 557,685,50,20
Flugmotor 622,683,155,27
einerseits 792,681,137,23
und 944,682,53,20
den 1013,680,50,22
Pro¬ 1079,681,61,20
peller 190,720,80,26
anderseits 284,719,147,21
im 446,719,37,20
Flugzeug 498,719,134,26
so 646,723,30,15
unterbringen 692,716,189,27
zu 897,721,33,16
können, 946,715,111,25
dass 1079,715,61,20
beide 191,753,73,21
am 275,758,43,16
günstigsten 329,752,168,28
Ort 508,752,48,21
liegen, 566,752,91,26
erscheint 670,750,131,21
es 814,755,28,15
vielfach 852,748,114,22
wünschens¬ 975,748,166,22
wert, 190,787,73,25
dass 282,787,62,22
sie 364,787,38,21
voneinander 422,787,176,21
getrennt 619,785,124,26
und 761,785,53,19
durch 836,782,82,22
ein 937,783,43,20
zwischen¬ 1000,782,141,21
geschaltetes 191,820,174,28
Glied, 381,820,80,25
eben 478,820,64,21
die 557,819,42,21
Fernleitung, 610,819,177,25
mit 798,818,50,21
einander 863,814,123,25
gekuppelt 1000,815,142,27
werden. 191,855,112,20
<EOS>
So 318,855,35,20
wird 362,854,66,21
es 443,859,29,16
z. 486,859,23,16
<EOS>
B. 516,854,30,20
<EOS>
möglich, 560,853,122,27
den 693,853,51,20
Motor 759,853,87,20
ganz 857,856,67,21
im 934,850,38,22
Tragflügel, 980,849,162,27
wo 192,894,40,15
er 247,894,30,15
leicht 296,888,80,21
zugänglich 395,886,159,28
ist, 573,887,43,25
verschwjreien 636,886,197,25
zu 853,891,33,15
lassen, 906,885,94,24
während 1018,883,125,21
der 190,923,46,20
Propeller 251,923,134,26
in 400,922,27,21
einiger 440,921,100,27
Entfernung 560,921,168,26
von 743,925,52,16
der 814,919,45,22
Flügefeprderkante 874,917,269,32
seinen 191,957,90,20
vorteühaftesten 295,956,230,22
Aufstellungsort 536,955,227,26
bekommt. 774,953,140,22
<EOS>
So 932,953,33,22
einfach 981,951,106,22
die 1102,951,40,21
Lösung 191,991,106,25
dieses 312,991,85,20
Problèmes 417,990,151,21
auch 583,990,68,20
erscheint, 672,990,138,22
spricht 826,986,102,29
doch 947,987,66,21
das 1028,986,48,21
sel¬ 1094,986,49,21
tene 192,1025,60,21
Vorkommen 262,1024,177,22
dieser 455,1024,83,21
Bauart 554,1024,101,20
von 670,1028,51,16
den 732,1023,49,20
zu 791,1027,31,15
erwartenden 839,1021,181,21
Schwie¬ 1030,1019,112,22
rigkeiten, 191,1058,138,27
die 345,1057,42,23
hauptsächlich 400,1057,200,28
schwingungstechnischer 611,1056,351,27
Natur 976,1053,87,22
sind. 1077,1053,65,21
<EOS>
Die 192,1093,48,20
ersten 257,1092,88,21
Fernleitungen 359,1091,206,26
in 581,1091,29,22
Flugzeugen 624,1091,168,27
kamen 806,1091,97,20
schon 924,1089,81,21
während 1019,1087,124,22
des 194,1127,45,20
Weltkrieges 253,1126,176,26
zur 447,1131,47,15
Anwendung, 515,1125,178,26
und 713,1124,54,22
zwar 787,1129,72,16
waren 877,1128,89,16
es 986,1128,29,15
WinJEeälE 1030,1115,129,32
triebe, 192,1161,89,24
die 299,1161,40,20
zwei 356,1159,66,22
über 441,1160,64,21
den 526,1160,50,20
Tragflächen 591,1159,176,25
montierte 787,1157,140,22
Propeller 947,1157,134,26
mit 1095,1154,50,22
einem 193,1195,86,21
im 293,1194,37,21
Rumpf 346,1195,98,25
gelagerten 459,1194,154,26
Motor 627,1193,88,21
verbanden. 729,1192,156,22
<EOS>
Der 900,1191,53,21
Nachteil 968,1190,120,22
der 1100,1190,45,20
Winkeltriebe 193,1228,187,22
liegt 395,1229,66,26
darin, 474,1228,83,24
dass 572,1228,64,21
in 655,1226,28,21
der 704,1227,46,20
Regel 764,1226,83,27
deren 861,1226,80,20
zweiJRfiinter- 961,1218,184,29
einander 194,1262,123,22
geschaltet 337,1262,149,27
werden 504,1262,104,21
müssen, 628,1260,114,25
um 762,1265,45,16
den 830,1260,51,21
Progläler 903,1251,132,40
in 1056,1258,27,20
die 1103,1257,43,21
richtige 192,1296,114,26
Stellung 322,1296,119,26
zu 461,1301,33,16
bringen, 513,1295,119,27
und 647,1295,52,21
dass 721,1295,62,21
die 805,1294,41,21
Uaperbringung 866,1284,218,41
des 1100,1292,45,20
äusseren 194,1330,125,21
Winkeltriebes 333,1330,200,21
Schwierigkeiten 554,1328,233,28
macht. 802,1328,97,21
<EOS>
Mit 922,1327,51,21
der 992,1327,46,20
gerad¬ 1054,1325,91,27
linigen 193,1364,98,27
Wellenverlängerung 297,1363,291,27
sind 595,1363,59,21
bessere 661,1362,104,21
Ergebnisse 773,1361,158,27
erzielt 939,1360,91,22
worden- 1034,1359,112,22
Zur 194,1399,52,20
Vermeidung 255,1398,176,26
von 440,1403,52,15
Drehschwingungen 503,1396,275,26
muss 792,1400,73,16
sie 881,1394,38,22
aber 930,1394,63,22
mit 1003,1394,49,20
einem 1063,1394,83,20
Schwingungsdämpfer 195,1432,312,26
ausgerüstet 515,1430,167,27
werden, 689,1430,111,25
und 809,1429,53,21
die 873,1429,41,20
Unterdlpckung 925,1420,221,35
von 193,1472,53,16
Biegungsschwingungen 260,1465,342,28
verlangt 616,1464,124,27
eine 759,1462,58,22
mehrfache 831,1462,154,21
Lagerung. 1000,1462,146,25
<EOS>
Demnach 195,1499,136,22
umfasst 350,1499,117,22
die 485,1499,42,21
Fernleitung 546,1499,172,25
nicht 736,1497,74,21
aUein 830,1497,80,21
die 929,1496,41,21
Wellenver¬ 990,1495,156,21
längerung, 194,1534,154,26
sondern 369,1533,112,21
auch 502,1532,67,22
einen 592,1532,76,21
Drehschwingungsdämpfer, 683,1528,384,28
eine 1090,1528,56,21
Trag- 195,1568,82,26
und 292,1567,53,21
Stützkonstruktion 361,1566,264,23
mit 640,1565,48,22
mehrfachen 707,1565,171,22
Radiallagern 894,1564,186,24
und 1095,1561,51,21
häufig 196,1602,94,25
auch 314,1602,68,20
noch 406,1601,68,21
die 499,1601,41,21
Steuerleitungen 566,1599,227,27
zum 818,1604,61,16
Verstellpropeller- 900,1596,247,27
Diese 195,1636,78,21
geradlinigen 295,1634,182,28
Uebertragungsgetriebe 500,1632,333,28
sind 854,1632,59,22
besonders 935,1630,140,23
von 1096,1635,51,16
Junkers 196,1670,114,21
und 325,1670,53,20
von 394,1674,51,16
den 460,1669,50,21
Dornierwerken 524,1668,219,21
entwickelt 758,1665,150,23
worden. 923,1665,112,22
<EOS>
Sie 1051,1664,43,22
er¬ 1107,1669,39,16
lauben 196,1703,97,22
es 312,1709,29,16
auch, 361,1703,74,25
die 456,1702,42,21
Leistungen 516,1702,163,26
mehrerer 700,1702,132,19
Motoren 850,1699,122,22
von 991,1703,53,17
einem 1063,1698,85,21
Sammelgetriebe 197,1737,234,27
aus 445,1742,49,16
auf 510,1737,48,20
einen 572,1736,75,21
gemeinsamen 668,1735,196,26
Propeller 879,1733,132,27
zu 1024,1737,34,16
über¬ 1072,1731,75,21
tragen. 196,1772,103,25
<EOS>
Dazu 314,1771,75,21
sind 403,1770,60,22
allerdings 478,1770,143,26
Einzelkupplungen 635,1768,259,27
und 908,1767,54,21
Freilaufein¬ 977,1765,170,22
richtungen 196,1805,159,26
nötig, 368,1803,84,28
um 462,1809,45,16
bei 520,1803,41,22
Störungen 577,1803,149,27
einzelne 740,1803,116,21
Motoren 864,1802,122,21
abschalten 997,1800,151,22
zu 197,1844,34,16
können. 245,1839,112,21
<EOS>
In 381,1839,33,21
dieser 428,1838,85,22
Form 527,1838,81,21
aber 624,1837,63,21
verbessern 702,1837,153,21
sie 873,1836,39,21
die 926,1836,42,21
Flugsicher¬ 983,1833,165,27
heit 198,1873,55,21
ganz 268,1878,68,22
wesentlich. 351,1872,159,22
<EOS>
<EOP>
Ein 258,1914,49,21
schnelles 323,1913,131,22
Feuerlösch-Boot 470,1913,236,22
ist 729,1913,36,20
von 780,1916,51,17
der 847,1911,45,21
Londoner 907,1911,137,21
Stadt¬ 1060,1909,87,22
verwaltung 197,1947,165,27
beschafft 378,1947,133,22
worden 520,1947,107,22
; 632,1952,7,20
es 654,1951,29,17
weist 698,1946,77,22
bei 788,1946,43,21
13,7 846,1945,51,25
m 908,1950,28,15
Länge, 947,1945,95,24
3,05 1059,1944,52,24
m 1121,1948,28,15
grösster 198,1983,120,26
Breite 332,1982,90,22
und 443,1982,54,21
einem 519,1980,86,22
Tiefgang 619,1980,132,27
von 775,1985,51,15
maximal 841,1978,127,22
1,07 982,1977,53,25
m 1050,1982,27,15
eine 1092,1977,58,20
vertraglich 197,2017,163,25
festgelegte 380,2016,158,27
Geschwindigkeit 555,2013,238,27
von 813,2018,52,17
20 881,2012,28,21
kn 925,2013,38,20
auf. 978,2012,54,21
<EOS>
Seinen 1055,2011,94,21
Antrieb 197,2050,110,23
erhält 323,2050,88,21
es 426,2055,28,16
durch 469,2049,82,22
drei 566,2048,57,22
Propeller, 632,2049,140,25
deren 788,2048,80,20
Wellen 883,2046,99,21
mit 997,2045,49,22
Sechs¬ 1057,2045,92,22
zylinder-Benzinmotoren 199,2084,349,28
von 562,2088,53,17
je 629,2083,26,26
110 666,2083,45,20
PS 722,2082,39,21
und 778,2081,52,21
2700 840,2080,61,21
U/min 910,2079,91,31
unmittel¬ 1016,2079,133,21
bar 199,2118,48,21
gekuppelt 262,2118,142,27
sind. 418,2118,65,21
<EOS>
Die 515,2117,49,22
beiden 583,2117,94,21
bordseitigen 697,2115,178,26
