2254,2981
16. 80,76,39,21
<EOS>
März 134,76,73,21
1940 223,76,61,21
SCHWEIZERISCHE 779,74,298,22
BAUZEWUNG 1094,69,220,30
131 1976,72,43,19
wohl 80,129,68,20
das 163,129,49,20
grösste 227,128,103,27
seiner 345,128,86,21
Art 445,129,52,20
sein 511,128,56,21
dürfte. 582,128,95,22
<EOS>
Das 693,129,55,20
Wehr, 758,128,86,24
durch 860,127,81,20
sechs 957,127,74,20
Pfeiler 80,163,99,20
von 192,168,52,15
3 259,162,14,21
m 289,168,26,14
Breite 332,162,87,21
jS 439,155,33,31
sieben 488,162,89,21
Oeffnungen 592,163,167,25
von 777,167,52,15
je 849,162,26,25
34 891,161,29,20
m 936,166,27,15
ein¬ 979,160,52,21
geteilt, 80,196,100,27
übernimmt 202,196,158,21
durch 380,196,82,21
die 486,196,41,21
Dachwehrabschlüsse 549,195,297,22
7,50 870,195,52,24
m 936,200,28,15
der 987,195,45,20
gesamten 80,230,140,26
Stauhöhe, 235,229,140,26
während 390,229,125,22
der 530,230,46,21
restliche 587,230,120,21
Stau 724,229,65,21
durch 803,229,82,21
einen 900,229,76,20
die 991,228,41,21
Pfeüer 81,263,97,21
als 194,264,40,20
Laufsteg 248,263,130,27
verbindenden 394,263,189,21
Eisenbetonbalken 594,262,254,22
erzielt 859,262,91,21
wird. 959,262,73,21
<EOS>
Für 82,297,54,21
die 151,297,41,21
Bauausführung 207,296,225,27
wurden 441,297,107,21
die 563,297,41,21
Jahre 615,297,80,21
1934 705,296,60,22
bis 780,296,40,21
1937 831,296,60,22
benötigt, 906,295,125,28
da 80,332,35,19
als 141,332,39,19
eigentliche 206,331,156,26
Bauzeit 387,331,109,21
nur 521,336,51,16
die 597,331,41,20
trockenen 660,331,143,20
Wintermonate 826,329,206,22
November 81,366,148,20
bis 243,365,41,21
Mai 300,365,55,21
zur 369,371,48,15
Verfügung 431,365,157,26
standen. 602,365,120,21
<EOS>
Die 743,364,48,20
Kosten 806,364,102,20
der 923,364,46,20
Ge¬ 984,363,48,21
samtanlage 80,400,167,26
werden 263,400,104,20
im 388,400,36,20
«Zentralblatt 440,399,187,21
der 648,399,45,20
Bauverwaltung» 714,398,237,25
vom 972,403,60,15
10. 80,433,38,21
<EOS>
Januar 129,433,102,21
1940 246,433,60,21
mit 322,433,49,22
15 386,433,30,21
Millionen 431,433,134,21
Mark 581,433,77,20
genannt. 673,432,125,27
<EOS>
<EOP>
Die 142,478,49,22
Ausstellung 207,479,171,26
von 395,483,50,16
Luftschutzbauten 460,478,255,21
am 734,483,43,15
Helvetiaplatz 794,478,195,25
in 1005,477,26,21
Zürich, 80,512,104,24
auf 201,513,46,20
die 263,513,40,20
wir 319,512,48,21
in 383,512,27,21
letzter 425,512,92,21
Nummer 534,512,126,20
hingewiesen 676,511,175,26
haben, 867,511,93,25
um¬ 976,516,55,16
fasst 80,546,72,20
auch 168,546,68,21
ein 251,546,42,21
Auskunftsbureau, 306,545,253,25
wo 575,550,40,16
alle 631,546,51,20
wünschenswerten 697,544,253,22
Aus¬ 964,545,67,21
künfte 80,579,96,22
in 191,580,27,20
Bezug 234,581,89,25
auf 339,580,46,20
Luftschutzbauten 399,579,254,21
gegeben 668,579,118,26
werden. 800,579,111,20
<EOS>
Sodann 928,579,104,20
veranstaltet 80,614,177,21
die 271,614,41,21
Beratungsstelle 328,613,223,26
für 566,613,44,20
Luftschutzbauten 625,612,254,22
der 895,614,46,20
Stadt 956,613,77,21
Zürich 80,647,95,21
für 201,647,45,22
Hausbesitzer 269,647,186,21
und 477,647,52,20
andere 553,647,96,20
Interessenten 675,648,192,19
besondere 892,647,140,20
Führungen; 81,681,173,26
für 269,681,45,20
Ingenieure 323,680,155,27
ist 493,680,35,21
der 538,681,47,20
heutige 599,680,106,27
Diskussionstag 717,681,218,26
in 951,682,25,18
der 987,681,46,20
E. 83,715,30,20
<EOS>
T. 124,715,27,20
<EOS>
H. 162,715,31,20
<EOS>
im 217,715,36,20
besonderen 276,715,159,20
bestimmt 457,714,136,21
(vgl. 616,714,64,26
<EOS>
