2254,2981
132 211,78,46,21
SCHWEIZERISCHE 914,74,298,23
BAUZËITUNG 1234,74,218,21
Bd. 1925,72,45,20
<EOS>
115 1989,71,45,21
Nr. 2059,71,46,20
<EOS>
11 2120,70,32,21
zur 212,135,47,16
Fixierung 272,130,140,26
der 426,130,45,20
Bogenform 478,129,158,24
und 648,129,53,20
der 715,129,44,19
Veränderliähkeit 767,122,239,26
des 1020,128,45,19
Träg¬ 1078,127,79,23
heitsmomentes 213,161,209,19
Koeffizienten 444,158,190,21
und 654,159,51,20
Gesetze 727,158,107,21
gewählt 855,157,114,26
werden, 987,157,109,26
die 1119,156,40,20
sich 213,190,55,21
in 284,190,27,22
sehr 324,190,60,21
übersichtlicher 397,189,211,21
Weise 623,188,84,20
tabellarisch 724,186,166,22
auswerten 905,187,146,20
lassen. 1067,186,91,21
<EOS>
Anderseits 213,219,152,21
hat 384,219,46,22
das 449,219,48,21
vom 513,223,60,17
Autor 592,218,85,21
hier 695,218,56,20
entwickelte 768,217,163,21
Verfahren 949,217,146,20
zur 1113,220,46,16
Berechnung 213,250,168,24
der 398,250,45,20
Viadukte 460,249,127,21
den 606,249,48,19
VorteüMdass 671,247,184,23
die 872,247,40,21
ganze 929,251,82,22
Verform¬ 1028,246,129,21
barkeit 212,280,104,21
des 336,280,46,21
Tragwerkes 400,278,171,27
in 588,278,28,20
einem 635,279,83,20
einzigen 738,277,117,26
Rechnungsgang 874,277,227,25
er- 1119,281,38,15
fasst 213,310,70,21
werden 301,310,102,20
kann. 422,309,78,20
<EOS>
Bei 523,308,45,21
grössere® 588,300,144,34
Felderzahl 740,307,150,21
würde 912,306,87,21
allerdings 1021,306,138,24
diese 214,340,68,21
Rechnung 301,340,142,26
langwierig, 461,338,157,25
sodass 640,338,91,20
in 749,338,27,21
vielem. 796,335,84,32
<EOS>
FäUen 897,336,89,21
eine 1007,336,55,21
Tren¬ 1082,336,76,20
nung 212,374,72,21
der 307,370,45,20
Berechnung 376,368,169,25
in 566,368,28,21
zwei 615,367,65,22
TeUe, 701,367,75,25
weitóhe 801,366,96,22
die 922,367,40,19
Drehbarkeit 986,365,173,21
und 212,400,52,20
die 279,400,42,22
Verschieblichkeit 335,397,246,23
der 599,398,44,21
Knotenpunkte 660,397,200,25
je 876,397,26,25
für 918,396,45,21
sich 980,395,55,21
berück¬ 1052,396,105,20
sichtigen, 213,429,132,26
wieder 367,428,94,21
schneUer 480,428,126,21
zum 624,433,60,15
Ziel 702,427,53,20
führt. 773,426,80,22
<EOS>
Der 875,427,52,19
Verfasser 946,426,138,20
ent¬ 1103,426,55,20
wickelt 213,459,103,21
deshalb 349,459,105,20
noch 484,457,66,21
ein 581,458,40,21
abgekürztes 654,456,172,27
Näherungsverfahren, 858,456,300,25
dessen 214,490,91,20
Ergebnisse 320,489,157,25
neben 492,488,82,20
denjenigen 589,486,153,27
der 757,488,45,20
genauen 817,491,117,20
Lösung 952,486,103,25
in 1070,487,26,18
den 1112,486,48,20
AbbUdungen 213,519,180,26
eingetragen 408,518,169,26
sind. 592,517,65,21
<EOS>
<EOP>
Als 275,549,47,20
Spezialfälle 340,549,160,24
werden 518,548,102,20
auch 637,546,66,21
Bogenreihen 719,546,174,26
mit 909,546,49,20
eingeschalte¬ 975,545,184,26
ten 213,579,45,21
Balkenfeldern 284,578,198,21
betrachtet 509,577,147,22
und 684,577,53,20
es 765,581,27,15
wird 817,575,64,21
die 909,576,40,20
Theorie 976,575,108,21
des 1114,576,44,19
elastisch 214,609,122,21
eingespannten 354,608,201,26
Bogens 574,608,102,24
auf 693,606,46,21
den 757,606,49,21
durchlaufenden 826,605,217,22
Balken 1061,605,99,21
mit 212,639,49,21
elastisch 282,638,123,22
eingespannten 424,638,203,26
Stützen 647,637,108,21
angewendet. 775,636,174,26
<EOS>
K. 976,636,31,20
<EOS>
Hofacker. 1018,636,141,20
<EOS>
Le 261,679,35,20
Corbusier 314,677,137,22
& 470,676,21,21
P. 509,677,28,19
<EOS>
Jeanneret. 555,675,146,22
<EOS>
Oeuvre 734,675,101,20
complète 852,674,126,27
1934—1938. 996,673,161,22
<EOS>
Publié 213,709,89,20
par 317,713,49,21
Max 378,707,78,21
Bill, 470,706,87,26
architecte, 572,705,149,25
Zurich. 734,705,99,21
<EOS>
Textes 848,705,94,21
pgpLe 956,704,104,32
Cor¬ 1074,704,83,21
busier. 213,737,132,21
<EOS>
Zürich 378,736,94,21
1939, 489,735,69,25
Editions 577,734,119,21
Dr. 711,734,45,20
<EOS>
H 772,734,33,20
Girsberger. 825,733,159,26
<EOS>
Preis 1010,733,75,21
geb. 1102,733,56,26
<EOS>
25 214,769,31,21
Fr. 258,769,42,21
<EOS>
<EOP>
Als 277,799,47,21
1930 348,798,60,22
in 437,798,27,22
obigem 486,798,102,25
Vorlag 608,797,96,25
das 734,797,47,20
Gesamtwerk 804,796,179,21
der 1013,795,45,20
Jahre 1080,795,79,20
1910—29 214,829,124,21
Le 356,829,37,20
Corbusiers 411,828,151,21
veröffentücht 579,826,197,22
wurde, 791,826,94,24
gab 902,826,51,26
er 973,830,29,16
der 1019,826,46,20
Hoff¬ 1082,826,75,19
nung 214,865,70,21
Ausdruck, 298,859,144,24
es 458,864,27,16
möchte 500,858,101,21
nicht 615,858,72,20
eine 701,858,55,21
endgültige 770,856,147,26
Bilanz 932,856,88,21
sein. 1034,855,62,22
<EOS>
Die 1112,855,46,20
künstlerische 213,890,190,21
Vitalität 416,888,123,22
und 551,889,53,20
BewegUchkeit 617,887,200,27
seines 831,887,84,21
Geistes, 928,886,107,24
die 1051,886,38,20
sich 1103,884,56,22
in 213,921,27,20
dieser 257,921,83,20
ersten 356,920,86,21
Publikation 456,919,165,21
kundtat, 636,918,119,24
war 771,923,56,15
die 843,917,40,21
sicherste 900,916,124,22
Gewähr, 1042,916,115,23
dass 214,952,61,20
eine 301,951,55,20
solche 379,950,86,21
Befürchtung 489,949,180,26
nicht 693,948,72,21
eintreffen 790,947,139,22
würde. 946,947,95,21
<EOS>
Schon 1075,947,84,21
nach 213,981,68,21
wenigen 298,980,118,26
Jahren 433,980,98,20
erschien 549,979,118,22
die 683,979,42,20
Fortsetzung 743,977,175,26
(bis 940,977,51,25
1934) 1010,977,73,24
