1970,2898
grosse 70,106,77,20
Zahl 157,99,58,22
richtungsweisender 225,99,238,27
städtebaulicher 474,99,190,23
Projekte 674,99,104,27
und 788,100,48,21
Realisa¬ 848,98,99,23
tionen 70,133,78,22
ist 159,133,29,22
nur 197,140,44,15
vor 251,140,41,15
diesem 302,134,85,22
Ausbildungshintergrund 398,134,303,26
zu 711,141,29,14
erklären. 749,134,110,22
<EOS>
<EOP>
Die 128,167,45,22
Verwendung 184,168,157,26
industrieller 352,167,149,23
Baumethoden 511,167,172,23
geht 696,168,52,26
in 759,168,23,21
England 793,167,104,27
auf 908,167,42,21
das 70,201,42,21
Ende 123,201,63,22
des 198,201,39,22
18. 251,202,33,21
<EOS>
Jahrhunderts 296,202,164,22
zurück. 471,202,92,22
<EOS>
Der 575,202,49,21
Übergang 635,197,123,31
von 769,208,46,15
einer 826,202,61,21
tief¬ 898,200,49,22
verwurzelten 70,235,159,22
handwerklichen 235,235,199,22
Auffassung 441,235,145,27
des 592,235,40,22
Berufes 639,235,92,22
und 737,235,48,22
die 792,235,37,22
Entwick¬ 836,234,111,22
lung 70,268,54,27
einer 131,268,62,22
industriellen 202,268,154,22
Tradition 362,269,119,21
vollzogen 489,269,117,26
sich 616,269,48,21
selbstverständlich 671,268,221,23
und 899,268,48,22
Hand 70,302,70,22
in 157,302,24,21
Hand 198,303,70,21
mit 286,302,42,22
der 345,303,40,21
Industrialisierung 401,302,221,27
der 640,303,39,21
übrigen 697,303,94,26
Wirtschaft. 808,301,139,23
<EOS>
Der 69,336,49,21
technische 138,336,129,22
Unterricht 289,336,131,22
an 440,343,31,16
der 489,337,39,21
AA-School 544,337,140,21
zeichnet 701,337,102,22
sich 820,336,49,22
nicht 885,335,63,22
durch 70,370,72,22
eine 159,370,51,22
besondere 227,370,126,22
Betonung 370,371,121,26
der 509,371,40,21
betreffenden 566,370,155,23
Disziplinen 740,371,140,25
aus, 898,376,49,19
jedoch 67,403,85,27
zeugt 167,407,67,23
